symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
HWO,under120,20260724T1337Z,morning,25.2,-0.996408605954939,False,10-120,False,,25.2,0.9802
ATTR,under120,20260724T1337Z,morning,45.1,-0.5210234592301752,False,10-120,True,2026-07-24T14:45:00Z,94.2699,
VYNE,under120,20260724T1337Z,morning,0.4925,-0.4666450075806801,False,<1,True,2026-07-24T15:15:00Z,0.519,
RBNE,under120,20260724T1337Z,morning,3.715,-0.3459507042253521,False,3-10,False,,3.74,0.9868
LITC,under120,20260724T1337Z,morning,20.5,-0.2470958098127289,False,10-120,False,,20.5,0.9804
WBUY,under120,20260724T1337Z,morning,0.8511,-0.2400892857142858,True,<1,True,2026-07-24T13:40:00Z,0.9,
ZVRA,under120,20260724T1337Z,morning,9.535,-0.23841853035143767,True,3-10,True,2026-07-24T14:05:00Z,10.19,
SXTC,under120,20260724T1337Z,morning,0.2559,-0.23060733613950687,True,<1,False,,0.265,1.0115
CDXS,under120,20260724T1337Z,morning,1.541,-0.2256281407035176,True,1-3,False,,1.57,0.9937
EHGO,under120,20260724T1337Z,morning,2.17,-0.19926199261992622,True,1-3,False,,2.25,1.0135
TAOP,under120,20260724T1337Z,morning,0.7773,-0.19509164336750545,True,<1,True,2026-07-24T13:35:00Z,0.893,
CWD,under120,20260724T1337Z,morning,0.57,-0.17570498915401309,True,<1,True,2026-07-24T13:40:00Z,0.607,
NVC,under120,20260724T1337Z,morning,23,-0.17473986365267316,False,10-120,False,,23.0,0.9804
IFED,under120,20260724T1337Z,morning,45.235,-0.17424242424242428,False,10-120,True,2026-07-24T13:35:00Z,50.14,
LGHL,under120,20260724T1337Z,morning,1.03,-0.16935483870967738,True,1-3,False,,1.05,0.9906
VTAK,under120,20260724T1337Z,morning,0.34,-0.16543937162493855,True,<1,False,,0.3501,1.0089
TERC,under120,20260724T1337Z,morning,19.49,-0.15022933779800843,False,10-120,False,,19.49,0.9804
PLAG,under120,20260724T1337Z,morning,0.5961,-0.14451779563719863,True,<1,True,2026-07-24T13:35:00Z,0.6299,
MHX,under120,20260724T1337Z,morning,23,-0.14136172563893887,False,10-120,False,,23.0,0.9804
PAVS,under120,20260724T1337Z,morning,5.0901,-0.13873096446700517,True,3-10,False,,5.26,1.0115
WETO,under120,20260724T1337Z,morning,0.0988,-0.13636363636363638,True,<1,True,2026-07-24T13:55:00Z,0.1073,
ATER,under120,20260724T1337Z,morning,0.48,-0.12727272727272737,True,<1,False,,0.4833,0.9863
IWML,under120,20260724T1337Z,morning,27.86,-0.12036700839534863,False,10-120,False,,27.86,0.9803
BIYA,under120,20260724T1337Z,morning,2.36,-0.11940298507462696,True,1-3,False,,2.42,1.0041
RITR,under120,20260724T1337Z,morning,0.1153,-0.11782708492731453,True,<1,True,2026-07-24T15:05:00Z,0.1221,
CBRG,under120,20260724T1337Z,morning,4.64,-0.11619047619047625,True,3-10,False,,4.77,1.0063
STFS,under120,20260724T1337Z,morning,3.28,-0.1135135135135136,True,3-10,True,2026-07-24T13:35:00Z,3.48,
LODE,under120,20260724T1337Z,morning,3.44,-0.11340206185567009,True,3-10,False,,3.46,0.9858
PVEX,under120,20260724T1337Z,morning,26.55,-0.11269300180469219,False,10-120,True,2026-07-24T15:50:00Z,30.0901,
KORU,under120,20260724T1337Z,morning,19.53,-0.11267605633802819,False,10-120,False,,20.06,1.0065
CBRX,under120,20260724T1337Z,morning,13.81,-0.11246786632390746,False,10-120,False,,13.62,0.9666
ACU,under120,20260724T1337Z,morning,46.68,-0.11000953288846525,False,10-120,True,2026-07-24T13:35:00Z,51.99,
AXPG,under120,20260724T1337Z,morning,11.91,-0.10922635074492909,False,10-120,False,,12.135,0.9988
KIDZ,under120,20260724T1337Z,morning,0.485,-0.10878353546490266,True,<1,False,,0.5,1.0101
IMCC,under120,20260724T1337Z,morning,0.1187,-0.10818933132982717,True,<1,True,2026-07-24T13:50:00Z,0.126,
MPWC,under120,20260724T1337Z,morning,23.315,-0.10815039227611946,False,10-120,False,,23.315,0.98
MXL,under120,20260724T1337Z,morning,81.455,-0.10724462954844363,False,10-120,True,2026-07-24T13:35:00Z,87.55,
NBIL,under120,20260724T1337Z,morning,28.5,-0.10574207718857863,False,10-120,False,,29.77,1.0202
RNAZ,under120,20260724T1337Z,morning,6.49,-0.10482758620689653,True,3-10,False,,6.69,1.0106
RYDE,under120,20260724T1337Z,morning,0.6049,-0.10371906949177664,True,<1,True,2026-07-24T13:50:00Z,0.6718,
DRAL,under120,20260724T1337Z,morning,11.25,-0.10358565737051798,False,10-120,False,,11.56,1.007
CRDU,under120,20260724T1337Z,morning,15.3,-0.10263929618768328,False,10-120,True,2026-07-24T13:35:00Z,16.16,
BNMC,under120,20260724T1337Z,morning,27.55,-0.10245383582887004,False,10-120,False,,27.55,0.9801
IRAB,under120,20260724T1337Z,morning,8.96,-0.09949748743718578,False,3-10,False,,8.96,0.9803
NEBX,under120,20260724T1337Z,morning,29.45,-0.09883720930232559,False,10-120,False,,30.67,1.0203
DVXV,under120,20260724T1337Z,morning,29.24,-0.09780096699444926,False,10-120,False,,29.24,0.9802
RAM,under120,20260724T1337Z,morning,13.2831,-0.09700203942895999,False,10-120,False,,13.6299,1.0059
HOOG,under120,20260724T1337Z,morning,26.78,-0.09618629767127904,False,10-120,False,,27.3723,1.0019
VEEE,under120,20260724T1337Z,morning,13.11,-0.09586206896551729,False,10-120,True,2026-07-24T14:15:00Z,13.96,
RSSE,under120,20260724T1337Z,morning,20.96,-0.09574881144464482,False,10-120,True,2026-07-24T14:30:00Z,23.241,
TNMG,under120,20260724T1337Z,morning,0.3618,-0.09550000000000003,False,<1,True,2026-07-24T13:45:00Z,0.38,
NBIG,under120,20260724T1337Z,morning,20,-0.0950226244343892,False,10-120,False,,20.65,1.0123
YOUL,under120,20260724T1337Z,morning,0.7059,-0.09488395948198496,False,<1,True,2026-07-24T13:45:00Z,0.834,
TIIV,under120,20260724T1337Z,morning,26.95,-0.09442204301075276,False,10-120,False,,26.95,0.9804
SHUS,under120,20260724T1337Z,morning,45.5,-0.09366521785897824,False,10-120,False,,45.5,0.9804
COOT,under120,20260724T1337Z,morning,0.3798,-0.09355608591885432,False,<1,True,2026-07-24T13:45:00Z,0.4035,
SMMT,under120,20260724T1337Z,morning,13.58,-0.09345794392523367,False,10-120,True,2026-07-24T13:40:00Z,14.42,
CRWU,under120,20260724T1337Z,morning,3.43,-0.0925925925925925,False,3-10,False,,3.58,1.0199
CWVX,under120,20260724T1337Z,morning,14.93,-0.09184914841849157,False,10-120,False,,15.23,1.0
SKHU,under120,20260724T1337Z,morning,20.1183,-0.09172460496613984,False,10-120,False,,20.42,0.9946
ROBN,under120,20260724T1337Z,morning,26.94,-0.09109311740890685,False,10-120,False,,27.41,0.9975
AAOX,under120,20260724T1337Z,morning,14.5,-0.09090909090909087,False,10-120,True,2026-07-24T13:35:00Z,15.2652,
SKHX,under120,20260724T1337Z,morning,15.21,-0.09085475194261802,False,10-120,False,,15.49,0.9981
SKHL,under120,20260724T1337Z,morning,9.82,-0.09074074074074077,False,3-10,False,,9.99,0.997
AEHG,under120,20260724T1337Z,morning,8.87,-0.09025641025641033,False,3-10,False,,8.82,0.9746
AXTU,under120,20260724T1337Z,morning,3.23,-0.0901408450704225,False,3-10,False,,3.25,0.9848
HYNX,under120,20260724T1337Z,morning,25.42,-0.08921533500537436,False,10-120,False,,25.83,0.9961
SKUU,under120,20260724T1337Z,morning,25.3247,-0.08871176682259803,False,10-120,False,,25.79,0.9981
CRWG,under120,20260724T1337Z,morning,17.99,-0.08865248226950355,False,10-120,False,,18.78,1.0201
CAMC,under120,20260724T1337Z,morning,17.98,-0.08844330654769443,False,10-120,False,,17.98,0.9804
HODU,under120,20260724T1337Z,morning,11.15,-0.08777039630853807,False,10-120,False,,11.28,0.9912
SK,under120,20260724T1337Z,morning,25.3599,-0.08711663066954649,False,10-120,False,,25.82,0.9981
AXTX,under120,20260724T1337Z,morning,6,-0.08675799086757995,False,3-10,False,,6.285,1.0203
NVBT,under120,20260724T1337Z,morning,35.95,-0.0865387058578405,False,10-120,False,,35.95,0.9804
AEHL,under120,20260724T1337Z,morning,0.6549,-0.08610103265420035,False,<1,False,,0.68,1.018
TOPP,under120,20260724T1337Z,morning,0.61,-0.08545727136431791,False,<1,False,,0.6127,0.9835
CISS,under120,20260724T1337Z,morning,0.88,-0.0852390852390852,False,<1,False,,0.89,0.9911
LGDX,under120,20260724T1337Z,morning,22.6,-0.08484610431944532,False,10-120,False,,22.6,0.9801
LABX,under120,20260724T1337Z,morning,14.13,-0.08484455958549215,False,10-120,False,,14.2949,0.9913
GVUS,under120,20260724T1337Z,morning,57.79,-0.08472074400689275,False,10-120,True,2026-07-24T15:00:00Z,63.73,
BEX,under120,20260724T1337Z,morning,25.56,-0.08419921175206024,False,10-120,False,,26.23,1.0058
SNDG,under120,20260724T1337Z,morning,10.62,-0.08290155440414515,False,10-120,False,,10.9699,1.012
RXO,under120,20260724T1337Z,morning,25.47,-0.08282319049333817,False,10-120,True,2026-07-24T18:30:00Z,26.6,
AXTL,under120,20260724T1337Z,morning,2.33,-0.08267716535433069,False,1-3,False,,2.266,0.9521
SOBR,under120,20260724T1337Z,morning,0.6249,-0.08264826776277161,False,<1,False,,0.6387,1.0011
SNDU,under120,20260724T1337Z,morning,26.78,-0.08256252141144228,False,10-120,False,,27.5596,1.0088
ZBAO,under120,20260724T1337Z,morning,0.2314,-0.08247422680412365,False,<1,False,,0.2358,0.9949
STXU,under120,20260724T1337Z,morning,14.25,-0.08123791102514505,False,10-120,False,,14.57,1.0021
KEEX,under120,20260724T1337Z,morning,64.96,-0.08116602520852707,False,10-120,False,,64.96,0.9804
LBGJ,under120,20260724T1337Z,morning,0.0287,-0.0801282051282051,False,<1,False,,0.0318,0.9938
BEG,under120,20260724T1337Z,morning,36.0126,-0.08004628813598284,False,10-120,False,,36.75,1.0003
IQSZ,under120,20260724T1337Z,morning,28.7,-0.07991292834541414,False,10-120,False,,28.7,0.9802
ZYBT,under120,20260724T1337Z,morning,1.6565,-0.0797222222222222,False,1-3,True,2026-07-24T13:40:00Z,1.84,
HOOX,under120,20260724T1337Z,morning,30.825,-0.07937531919468865,False,10-120,False,,30.88,0.9819
SLGB,under120,20260724T1337Z,morning,0.7551,-0.07892168821663818,False,<1,True,2026-07-24T13:40:00Z,0.7974,
