symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
ABEO,under120,2026-08-13T13:38Z,morning,6.6463,-0.10907506702412867,true,in_bracket,3-10,true,false,,,6.695,98.74631268436578,false,,,6.34,-4.60857920948498
ABLV,under120,2026-08-13T19:37Z,afternoon,0.7,-0.10244903192717025,true,in_bracket,<1,true,false,,,0.7,98.0392156862745,,,,0.6878,-1.7428571428571416
ABVC,under120,2026-08-13T14:53Z,morning,0.8933,-0.06957608582439327,false,shallow_outside,<1,true,true,2026-08-13T18:30:00Z,3.1008619724616655,,,false,,,0.9593,7.388335385648725
ACCS,under120,2026-08-13T15:54Z,morning,4.85,-0.06728975557222268,false,shallow_outside,3-10,true,true,2026-08-13T18:40:00Z,3.0927835051546464,,,false,,,5.02,3.5051546391752564
ACH,under120,2026-08-13T14:53Z,morning,1.1402,-0.057685950413223025,false,shallow_outside,1-3,true,false,,,1.145,97.86324786324786,false,,,1.09,-4.402736362041749
ADCT,under120,2026-08-13T13:38Z,morning,1.0199,-0.17081300813008127,true,in_bracket,1-3,true,true,2026-08-13T15:05:00Z,5.892734581821752,,,false,,,1.045,2.4610255907441805
ADIG,under120,2026-08-13T13:38Z,morning,22.57,-0.10578446909667188,false,other_price_or_range,10-120,false,,,,,,,,,,
AEHG,under120,2026-08-13T13:38Z,morning,14.71,-0.1754484304932735,false,other_price_or_range,10-120,false,,,,,,,,,,
AEHR,under120,2026-08-13T13:38Z,morning,117.925,-0.0874796873790915,false,other_price_or_range,10-120,false,,,,,,,,,,
AEI,under120,2026-08-13T13:38Z,morning,1.06,-0.05357142857142862,false,shallow_outside,1-3,true,true,2026-08-13T13:45:00Z,5.660377358490571,,,false,,,1.17,10.377358490566026
AEVA,under120,2026-08-13T19:37Z,afternoon,22.795,-0.0939984101748807,false,other_price_or_range,10-120,false,,,,,,,,,,
AIHS,under120,2026-08-13T13:38Z,morning,1.5,-0.06250000000000006,false,shallow_outside,1-3,true,true,2026-08-13T13:45:00Z,5.3333333333333375,,,false,,,1.69,12.666666666666663
AISP,under120,2026-08-13T15:54Z,morning,1.945,-0.06038647342995159,false,shallow_outside,1-3,true,false,,,1.9698,98.98492462311557,false,,,1.94,-0.2570694087403658
AIXI,under120,2026-08-13T13:38Z,morning,0.86,-0.05577514273166454,false,shallow_outside,<1,true,true,2026-08-13T19:30:00Z,2.5581395348837233,,,false,,,0.8857,2.9883720930232625
AKAF,under120,2026-08-13T13:38Z,morning,28.0,-0.16604616530156374,false,other_price_or_range,10-120,false,,,,,,,,,,
AKAN,under120,2026-08-13T15:54Z,morning,5.09,-0.05565862708719849,false,shallow_outside,3-10,true,false,,,5.28,101.53846153846153,false,,,5.03,-1.1787819253438037
ALEC,under120,2026-08-13T14:53Z,morning,1.985,-0.07674418604651155,false,shallow_outside,1-3,true,true,2026-08-13T15:50:00Z,5.2896725440805925,,,false,,,2.04,2.770780856423171
ALP,under120,2026-08-13T13:38Z,morning,0.1629,-0.09500000000000003,false,shallow_outside,<1,true,true,2026-08-13T14:15:00Z,5.586249232658071,,,false,,,0.1697,4.174340085942296
ALPS,under120,2026-08-13T13:38Z,morning,0.3295,-0.07960893854748595,false,shallow_outside,<1,true,false,,,0.3295,97.77448071216617,true,0.3289,-0.18209408194233365,0.3104,-5.796661608497725
ALTG,under120,2026-08-13T19:37Z,afternoon,7.09,-0.08985879332477538,false,shallow_outside,3-10,true,false,,,7.2195,99.71685082872928,,,,7.16,0.9873060648801169
AMIX,under120,2026-08-13T15:54Z,morning,7.13,-0.05374917053749174,false,shallow_outside,3-10,true,false,,,7.2,98.9010989010989,false,,,6.83,-4.207573632538567
AMPG,under120,2026-08-13T19:37Z,afternoon,5.98,-0.06708268330733225,false,shallow_outside,3-10,true,false,,,6.03,98.85245901639345,,,,6.02,0.6688963210702198
ANDG,under120,2026-08-13T13:38Z,morning,44.76,-0.10480000000000005,false,other_price_or_range,10-120,false,,,,,,,,,,
ANTA,under120,2026-08-13T15:54Z,morning,3.695,-0.07970112079701118,false,shallow_outside,3-10,false,,,,,,,,,,
AOSL,under120,2026-08-13T13:38Z,morning,33.0,-0.09040793825799341,false,other_price_or_range,10-120,false,,,,,,,,,,
APWC,under120,2026-08-13T19:37Z,afternoon,1.5,-0.05660377358490571,false,shallow_outside,1-3,true,false,,,1.5,98.0392156862745,,,,1.47,-2.0000000000000018
ARAI,under120,2026-08-13T13:38Z,morning,0.2394,-0.07958477508650517,false,shallow_outside,<1,true,false,,,0.2471,100.85714285714285,false,,,0.2438,1.8379281537176222
AREN,under120,2026-08-13T19:37Z,afternoon,1.185,-0.08846153846153845,false,shallow_outside,1-3,true,false,,,1.189,98.26446280991736,,,,1.185,0.0
ATGL,under120,2026-08-13T15:54Z,morning,7.4,-0.06329113924050632,false,shallow_outside,3-10,true,true,2026-08-13T19:50:00Z,2.0270270270270196,,,true,7.19,-2.8378378378378373,7.63,3.1081081081081017
ATRA,under120,2026-08-13T13:38Z,morning,8.06,-0.12628726287262865,true,in_bracket,3-10,true,true,2026-08-13T13:40:00Z,5.086848635235733,,,false,,,8.64,7.196029776674938
ATTR,under120,2026-08-13T13:38Z,morning,45.1,-0.5260045865099434,false,other_price_or_range,10-120,false,,,,,,,,,,
ATXG,under120,2026-08-13T13:38Z,morning,4.5893,-0.06340816326530625,false,shallow_outside,3-10,true,false,,,4.5893,97.85287846481874,true,4.0,-12.840738238947111,3.94,-14.148127165362906
AUUD,under120,2026-08-13T15:54Z,morning,1.035,-0.06756756756756772,false,shallow_outside,1-3,true,false,,,1.04,98.11320754716981,false,,,1.0202,-1.4299516908212488
AVBP,under120,2026-08-13T14:53Z,morning,29.795,-0.05292434837889381,false,other_price_or_range,10-120,false,,,,,,,,,,
AVEX,under120,2026-08-13T13:38Z,morning,21.255,-0.06571428571428575,false,other_price_or_range,10-120,false,,,,,,,,,,
AZIO,under120,2026-08-13T14:53Z,morning,1.575,-0.07894736842105264,false,shallow_outside,1-3,true,false,,,1.6399,101.85714285714285,false,,,1.55,-1.5873015873015817
BABC,under120,2026-08-13T13:38Z,morning,29.44,-0.05074821289808758,false,other_price_or_range,10-120,false,,,,,,,,,,
BAOS,under120,2026-08-13T13:38Z,morning,0.62,-0.1842105263157895,true,in_bracket,<1,true,false,,,0.6299,99.51026856240127,false,,,0.6051,-2.4032258064516165
BCRX,under120,2026-08-13T14:53Z,morning,10.055,-0.05051935788479699,false,other_price_or_range,10-120,false,,,,,,,,,,
BDMD,under120,2026-08-13T15:54Z,morning,1.1137,-0.056186440677966125,false,shallow_outside,1-3,true,true,2026-08-13T18:50:00Z,3.2594055849869803,,,false,,,1.15,3.2594055849869803
BEEP,under120,2026-08-13T13:38Z,morning,2.625,-0.05575539568345317,false,shallow_outside,1-3,true,true,2026-08-13T14:25:00Z,5.142857142857134,,,false,,,2.43,-7.428571428571422
BERZ,under120,2026-08-13T14:53Z,morning,19.85,-0.07286314806165338,false,other_price_or_range,10-120,false,,,,,,,,,,
BETR,under120,2026-08-13T13:38Z,morning,14.05,-0.052915402763734416,false,other_price_or_range,10-120,false,,,,,,,,,,
BEZ,under120,2026-08-13T13:38Z,morning,8.3025,-0.06186440677966096,false,shallow_outside,3-10,true,true,2026-08-13T15:50:00Z,5.028605841613977,,,false,,,8.995,8.34086118638963
BGDE,under120,2026-08-13T14:53Z,morning,5.9697,-0.06723437500000012,false,shallow_outside,3-10,true,true,2026-08-13T16:10:00Z,5.030403537866225,,,false,,,6.08,1.8476640367187718
BGI,under120,2026-08-13T13:38Z,morning,0.3013,-0.08696969696969697,false,shallow_outside,<1,true,true,2026-08-13T13:40:00Z,5.210753401924989,,,false,,,0.3301,9.558579488881511
BGSI,under120,2026-08-13T14:53Z,morning,96.5,-0.08147725109461262,false,other_price_or_range,10-120,false,,,,,,,,,,
BIAF,under120,2026-08-13T13:38Z,morning,0.446,-0.056484027924687964,false,shallow_outside,<1,true,false,,,0.4556,100.13186813186815,false,,,0.3833,-14.058295964125566
BKTI,under120,2026-08-13T15:54Z,morning,73.95,-0.051314945477870424,false,other_price_or_range,10-120,false,,,,,,,,,,
BKYI,under120,2026-08-13T19:37Z,afternoon,3.55,-0.055851063829787224,false,shallow_outside,3-10,false,,,,,,,,,,
BLMN,under120,2026-08-13T19:37Z,afternoon,10.815,-0.05048287971905189,false,other_price_or_range,10-120,false,,,,,,,,,,
BLTE,120to500,2026-08-13T19:37Z,afternoon,165.19,-0.07684139935173802,false,other_price_or_range,120-500,false,,,,,,,,,,
BMM,under120,2026-08-13T15:54Z,morning,5.01,-0.05649717514124291,false,shallow_outside,3-10,true,false,,,5.1,99.60937499999999,false,,,4.91,-1.9960079840319291
BNR,under120,2026-08-13T19:37Z,afternoon,9.29,-0.06445115810674729,false,shallow_outside,3-10,false,,,,,,,,,,
BOXL,under120,2026-08-13T13:38Z,morning,7.125,-0.09466327827191869,false,shallow_outside,3-10,true,false,,,7.3,100.41265474552958,false,,,6.92,-2.8771929824561413
BQ,under120,2026-08-13T13:38Z,morning,1.05,-0.1463414634146341,true,in_bracket,1-3,true,true,2026-08-13T13:55:00Z,5.714285714285719,,,false,,,1.2175,15.95238095238095
