symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
AAOZ,under120,20260721T1337Z,morning,30.24,10-120,False,,31.46,101.98
AGIO,under120,20260721T1337Z,morning,37.715,10-120,False,,39.37,102.02
AIHS,under120,20260721T1337Z,morning,1.21,1-3,True,2026-07-21T13:50:00Z,1.3822,
AIRE,under120,20260721T1337Z,morning,1.26,1-3,True,2026-07-21T13:35:00Z,1.46,
AMBO,under120,20260721T1337Z,morning,2.13,1-3,True,2026-07-21T14:15:00Z,2.35,
AMDD,under120,20260721T1337Z,morning,28.31,10-120,False,,28.6999,99.38
ANNX,under120,20260721T1337Z,morning,5.19,3-10,True,2026-07-21T13:45:00Z,5.64,
APLZ,under120,20260721T1337Z,morning,26.759,10-120,False,,27.3074,100.03
APVO,under120,20260721T1337Z,morning,4.5,3-10,False,,4.52,98.47
ASTN,under120,20260721T1337Z,morning,7.05,3-10,False,,7.26,100.83
ATHR,under120,20260721T1337Z,morning,4.4,3-10,False,,4.5905,101.11
AUGT,under120,20260721T1337Z,morning,34.55,10-120,True,2026-07-21T15:40:00Z,38.345,
BAOS,under120,20260721T1337Z,morning,1.815,1-3,True,2026-07-21T13:35:00Z,1.91,
BDCX,under120,20260721T1337Z,morning,17.6,10-120,True,2026-07-21T13:45:00Z,19.23,
BEZ,under120,20260721T1337Z,morning,18.55,10-120,False,,18.8299,99.47
BIYA,under120,20260721T1337Z,morning,2.93,1-3,True,2026-07-21T13:45:00Z,3.2869,
BJDX,under120,20260721T1337Z,morning,1.1401,1-3,False,,1.17,100.0
BNMC,under120,20260721T1337Z,morning,27.55,10-120,False,,,
BRAG,under120,20260721T1337Z,morning,1.5,1-3,False,,1.57,101.95
BXBL,under120,20260721T1337Z,morning,8.25,3-10,True,2026-07-21T13:35:00Z,8.8,
BYAH,under120,20260721T1337Z,morning,0.4401,<1,True,2026-07-21T18:20:00Z,0.5331,
CALX,under120,20260721T1337Z,morning,35.395,10-120,True,2026-07-21T18:30:00Z,37.6499,
