symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
AAOG,under120,20260722T1336Z,morning,3.755,-0.07739557739557748,False,3-10,False,,3.9258,101.97
AAOI,under120,20260722T1937Z,afternoon,111.145,-0.06804460841858133,False,10-120,False,,111.46,98.32
AAOX,under120,20260722T1336Z,morning,16.83,-0.07272727272727275,False,10-120,False,,17.63,102.03
ACH,under120,20260722T1937Z,afternoon,3.18,-0.07017543859649117,False,3-10,False,,3.18,97.85
ACMR,under120,20260722T1937Z,afternoon,89.99,-0.05542143381967043,False,10-120,False,,90.285,98.36
ACTU,under120,20260722T1937Z,afternoon,1.28,-0.05185185185185189,False,1-3,False,,1.28,97.71
ACXP,under120,20260722T1637Z,morning,1.44,-0.05263157894736847,False,1-3,True,2026-07-22T19:55:00Z,1.47,
ADTN,under120,20260722T1336Z,morning,9.66,-0.20428336079077433,True,3-10,True,2026-07-22T13:45:00Z,10.265,
AEHG,under120,20260722T1336Z,morning,11.4111,-0.07377435064935073,False,10-120,True,2026-07-22T13:45:00Z,12.1718,
AEHL,under120,20260722T1637Z,morning,0.6074,-0.05916976456009898,False,<1,False,,0.6245,100.73
AEI,under120,20260722T1937Z,afternoon,1.07,-0.06140350877192969,False,1-3,False,,1.09,99.09
AEON,under120,20260722T1937Z,afternoon,0.2683,-0.06840277777777777,False,<1,False,,0.2683,97.92
AEVA,under120,20260722T1937Z,afternoon,16.8,-0.050310910118711166,False,10-120,False,,16.83,98.19
AGL,under120,20260722T1937Z,afternoon,118.9,-0.0546986802353315,False,10-120,False,,120.78,99.59
AGPU,under120,20260722T1336Z,morning,8.0365,-0.15759958071278815,True,3-10,True,2026-07-22T13:35:00Z,8.685,
AHG,under120,20260722T1637Z,morning,1.49,-0.06875000000000006,False,1-3,True,2026-07-22T19:55:00Z,1.59,
AI,under120,20260722T1937Z,afternoon,8.05,-0.06286379511059362,False,3-10,False,,8.19,99.64
AIFC,under120,20260722T1937Z,afternoon,0.477,-0.0658049353701529,False,<1,False,,0.4849,99.57
AIIO,under120,20260722T1637Z,morning,3.03,-0.057542768273716974,False,3-10,True,2026-07-22T19:20:00Z,3.13,
AIOS,under120,20260722T1336Z,morning,12.3,-0.054573405073020685,False,10-120,False,,12.3,98.01
AIR,120to500,20260722T1637Z,morning,127.0,-0.10183875530410187,False,120-500,False,,128.99,99.58
AIRE,under120,20260722T1937Z,afternoon,1.3099,-0.05079710144927524,False,1-3,False,,1.3099,97.75
