check_date,symbol,original_date_seen,original_price,current_price,pct_change_from_original,days_since_scan
2026-07-24,WBUY,2026-07-24,0.8511,0.8493,-0.0021,0
2026-07-24,ZVRA,2026-07-24,9.535,9.525,-0.001,0
2026-07-24,ZCMD,2026-07-24,1.32,1.38,0.0455,0
2026-07-24,SXTC,2026-07-24,0.2559,0.0641,-0.7495,0
2026-07-24,CDXS,2026-07-24,1.541,1.483,-0.0376,0
2026-07-24,EHGO,2026-07-24,2.17,2.085,-0.0392,0
2026-07-24,IPW,2026-07-24,0.6658,0.6661,0.0005,0
2026-07-24,TAOP,2026-07-24,0.7773,0.8167,0.0507,0
2026-07-24,MNDR,2026-07-24,2.16,2.175,0.0069,0
2026-07-24,CWD,2026-07-24,0.57,0.5651,-0.0086,0
2026-07-24,LGHL,2026-07-24,1.03,0.91,-0.1165,0
2026-07-24,VTAK,2026-07-24,0.34,0.258,-0.2412,0
2026-07-24,LSTA,2026-07-24,1.7768,1.7,-0.0432,0
2026-07-24,ZJYL,2026-07-24,1.9214,2.06,0.0721,0
2026-07-24,REBN,2026-07-24,1.05,0.9977,-0.0498,0
2026-07-24,PLAG,2026-07-24,0.5961,0.654,0.0971,0
2026-07-24,PAVS,2026-07-24,5.0901,4.78,-0.0609,0
2026-07-24,WETO,2026-07-24,0.0988,0.094,-0.0486,0
2026-07-24,ATER,2026-07-24,0.48,0.4114,-0.1429,0
2026-07-24,MGNX,2026-07-24,3.515,3.695,0.0512,0
2026-07-24,BNRG,2026-07-24,0.686,0.7308,0.0653,0
2026-07-24,CHAI,2026-07-24,0.4123,0.3949,-0.0422,0
2026-07-24,BIYA,2026-07-24,2.36,1.94,-0.178,0
2026-07-24,RITR,2026-07-24,0.1153,0.1065,-0.0763,0
2026-07-24,CBRG,2026-07-24,4.64,4.27,-0.0797,0
2026-07-24,STFS,2026-07-24,3.28,3.41,0.0396,0
2026-07-24,LODE,2026-07-24,3.44,2.995,-0.1294,0
2026-07-24,CNEY,2026-07-24,0.6315,0.5771,-0.0861,0
2026-07-24,INLF,2026-07-24,3.33,3.12,-0.0631,0
2026-07-24,TRAW,2026-07-24,0.462,0.4988,0.0797,0
2026-07-24,GIPR,2026-07-24,0.6601,0.67,0.015,0
2026-07-24,GAUZ,2026-07-24,0.3088,0.3099,0.0036,0
2026-07-24,XHLD,2026-07-24,1.86,1.84,-0.0108,0
2026-07-24,KIDZ,2026-07-24,0.485,0.4189,-0.1363,0
2026-07-24,IMCC,2026-07-24,0.1187,0.116,-0.0227,0
2026-07-24,LGCL,2026-07-24,1.5702,1.34,-0.1466,0
2026-07-24,PETZ,2026-07-24,1.21,1.25,0.0331,0
2026-07-24,PHGE,2026-07-24,0.1771,0.1868,0.0548,0
2026-07-24,BXBL,2026-07-24,4.8257,4.9,0.0154,0
2026-07-24,HIHO,2026-07-24,1.18,1.0608,-0.101,0
2026-07-24,RNAZ,2026-07-24,6.49,5.93,-0.0863,0
2026-07-24,RYDE,2026-07-24,0.6049,0.61,0.0084,0
2026-07-24,EGG,2026-07-24,5.745,5.34,-0.0705,0
2026-07-24,PMAX,2026-07-24,1.5991,1.6,0.0006,0
2026-07-24,HDRN,2026-07-24,1.79,1.71,-0.0447,0
