symbol,quantity,avg_buy_price,current_price,pct_change_since_buy,low_since_buy,current_resting_target_price,rationale
BAOS,6,1.64,1.17,-0.2866,1.1,,"down -28.7% but has bounced off today's low (1.1), not flagged"
AEHG,1,8.49,7.045,-0.1702,6.9501,,"down -17.0% since buy, within 2% of today's low (6.9501), still trending down (2nd-half avg close < 1st-half)"
MODD,3,2.95,2.5,-0.1525,2.4381,,"down -15.2% but has bounced off today's low (2.4381), not flagged"
ATER,20,0.48,0.4114,-0.1429,0.4004,,"down -14.3% but has bounced off today's low (0.4004), not flagged"
CRWU,2,3.37,2.91,-0.1365,2.9,,"down -13.7% since buy, within 2% of today's low (2.9), still trending down (2nd-half avg close < 1st-half)"
SNDC,1,8.98,7.86,-0.1247,7.63,,"down -12.5% but has bounced off today's low (7.63), not flagged"
AXTX,1,5.78,5.17,-0.1055,4.915,,"down -10.5% but has bounced off today's low (4.915), not flagged"
IREG,1,8.61,7.73,-0.1022,7.69,,"down -10.2% since buy, within 2% of today's low (7.69), still trending down (2nd-half avg close < 1st-half)"
COHH,1,7.46,6.7,-0.1019,6.66,,"down -10.2% since buy, within 2% of today's low (6.66), still trending down (2nd-half avg close < 1st-half)"
EXYN,3,2.97,2.67,-0.101,2.5181,,"down -10.1% but has bounced off today's low (2.5181), not flagged"
GLXU,1,6.57,5.91,-0.1005,5.83,,"down -10.1% since buy, within 2% of today's low (5.83), still trending down (2nd-half avg close < 1st-half)"
POEL,1,9.17,8.25,-0.1003,8.11,,"down -10.0% since buy, within 2% of today's low (8.11), still trending down (2nd-half avg close < 1st-half)"
AXTU,3,3.08,2.79,-0.0942,2.64,,"down -9.4% but has bounced off today's low (2.64), not flagged"
MPG,2,3.38,3.085,-0.0873,3.078,,"down -8.7% since buy, within 2% of today's low (3.078), still trending down (2nd-half avg close < 1st-half)"
TOPP,16,0.61,0.5589,-0.0838,0.55,,"down -8.4% since buy, within 2% of today's low (0.55), still trending down (2nd-half avg close < 1st-half)"
PLU,1,8.73,8.0301,-0.0802,7.93,,"down -8.0% since buy, within 2% of today's low (7.93), still trending down (2nd-half avg close < 1st-half)"
AAOG,3,3.05,2.8116,-0.0782,2.75,,"down -7.8% but has bounced off today's low (2.75), not flagged"
SKHL,1,9.61,8.86,-0.078,8.719,,"down -7.8% since buy, within 2% of today's low (8.719), still trending down (2nd-half avg close < 1st-half)"
KSCP,6,1.57,1.46,-0.0701,1.45,,"down -7.0% since buy, within 2% of today's low (1.45), still trending down (2nd-half avg close < 1st-half)"
CBRG,2,4.56,4.27,-0.0636,3.97,,"down -6.4% but has bounced off today's low (3.97), not flagged"
ODYS,2,4.85,4.55,-0.0619,4.45,,"down -6.2% but has bounced off today's low (4.45), not flagged"
AMPG,1,5.76,5.405,-0.0616,5.38,,"down -6.2% since buy, within 2% of today's low (5.38), still trending down (2nd-half avg close < 1st-half)"
KEEL,2,4.53,4.265,-0.0585,4.25,,"down -5.9% since buy, within 2% of today's low (4.25), still trending down (2nd-half avg close < 1st-half)"
XHG,9,1.04,0.9812,-0.0565,0.9812,,"down -5.7% and near low, but not trending down through the day, not flagged"
EHGO,4,2.2,2.085,-0.0523,1.84,,"down -5.2% but has bounced off today's low (1.84), not flagged"
HYLN,2,3.85,3.71,-0.0364,3.67,,"only -3.6% since buy, not a liquidation candidate"
TAOX,2,3.43,3.32,-0.0321,3.2888,,"only -3.2% since buy, not a liquidation candidate"
OSSL,1,8.68,8.4055,-0.0316,,,"no real trades since fill (all bars interpolated) - illiquid/stale, insufficient data for trend"
RDWU,1,4.86,4.71,-0.0309,4.65,,"only -3.1% since buy, not a liquidation candidate"
CDXS,6,1.51,1.483,-0.0179,1.465,,"only -1.8% since buy, not a liquidation candidate"
ALOY,1,7.06,7.025,-0.005,6.825,,"only -0.5% since buy, not a liquidation candidate"
IRAB,1,9.98,9.95,-0.003,,,"no real trades since fill (all bars interpolated) - illiquid/stale, insufficient data for trend"
SPCH,1,6.59,6.64,0.0076,6.21,,"only 0.8% since buy, not a liquidation candidate"
COIA,1,7.19,7.27,0.0111,6.91,,"only 1.1% since buy, not a liquidation candidate"
SPAX,1,6.63,6.72,0.0136,6.29,,"only 1.4% since buy, not a liquidation candidate"
SPCU,1,8.77,8.89,0.0137,8.3001,,"only 1.4% since buy, not a liquidation candidate"
