symbol,name,last_price,pct_change,market_cap,volume
AMD,AMD,484.165,-0.06636391684985926,8.45596879372e+11,2.3162719973656e+07
AMT,American Tower,166.09,-0.052268188302425085,8.1659498412e+10,1.497745779472e+06
ALAB,"Astera Labs, Inc.",326.215,-0.09803135454972776,6.1993109298e+10,3.000689983027e+06
TSEM,Tower Semiconductor,220.335,-0.08013609986223018,2.4721778971e+10,1.022180658531e+06
SBAC,SBA Communications,174.67,-0.07040979244278882,1.9950453497e+10,465452.413169
LSCC,Lattice Semiconductor,128.8375,-0.06639492753623184,1.9713062495e+10,1.035303418042e+06
CDW,CDW,134.05,-0.12954545454545446,1.9686806799e+10,2.651581976579e+06
DOCN,DigitalOcean,121.12,-0.06028396306928375,1.5068284493e+10,602134.716085
RRX,Regal Rexnord,190.75,-0.13311216142519539,1.4647968842e+10,1.140942750833e+06
DVA,DaVita,187,-0.1797885872187377,1.463353815e+10,1.552882555287e+06
PODD,Insulet,137.82,-0.17384006713823283,1.1545728509e+10,2.345514442974e+06
SIMO,Silicon Motion,253.645,-0.05529069983984505,9.101880149e+09,125832.858282
AMUU,Direxion Daily AMD Bull 2X ETF,186.16,-0.15546885632627142,,138671.526352
