symbol,avg_buy_price,peak_price,decay_pct,decay_target,trailing_target,old_target,new_target,action,reason
ARI,7.02,7.06,0.05,7.38,,7.38,7.38,unchanged,decay (bracket unchanged since last firing)
SOBR,1.20,1.215,0.05,1.26,,1.26,1.26,unchanged,decay
ALP,0.25,0.2578,0.05,0.263,0.253,0.265,0.263,replaced,decay (fresh 5% reset for the day; trailing 0.253 invalid/lower)
VIVS,0.67,0.670,0.05,0.704,,0.705,0.704,replaced,"decay (peak==avg buy price, trailing invalid)"
ZBAO,0.25,0.2577,0.05,0.263,0.253,0.263,0.263,unchanged,decay
VCIG,1.10,1.24,0.05,1.16,1.22,1.22,1.22,unchanged,trailing (peak 1.24 * 0.98)
PLAG,0.98,0.95,0.05,1.03,,1.03,1.03,unchanged,"decay (peak below avg buy, trailing invalid)"
STFS,11.15,10.38,0.05,11.71,,11.71,11.71,unchanged,"decay (peak below avg buy, trailing invalid)"
CYCU,0.39,0.407,0.05,0.41,0.399,0.414,0.41,replaced,decay (fresh 5% reset for the day; trailing lower)
CSAI,0.37,0.390,0.05,0.389,0.383,0.388,0.389,replaced,decay (fresh 5% reset for the day; trailing lower)
CETY,1.02,0.9898,0.05,1.08,,1.08,1.08,unchanged,"decay (peak below avg buy, trailing invalid)"
POM,1.11,1.13,0.05,1.17,1.13,1.17,1.17,unchanged,decay (trailing lower)
FRGT,3.82,3.93,0.05,4.02,3.86,4.02,4.02,unchanged,decay (trailing lower)
DFNS,6.02,,0.05,6.33,,6.33,6.33,unchanged,"decay only, no discoverable buy-fill order (pre-existing; resting order still covers only 4 of 4.256 sh held)"
GVH,2.16,2.09,0.05,2.27,,2.27,2.27,unchanged,"decay (peak below avg buy, trailing invalid)"
MSS,0.46,0.4796,0.05,0.483,0.471,0.488,0.483,replaced,decay (fresh 5% reset for the day; trailing lower)
BIVI,1.43,1.49,0.05,1.51,1.47,1.51,1.51,unchanged,decay (trailing lower)
GLXG,0.92,0.945,0.05,0.966,0.927,0.966,0.966,unchanged,decay (trailing lower)
QMLS,12.00,11.9999,0.05,12.60,,12.60,12.60,unchanged,"decay (peak fractionally below avg buy, trailing invalid)"
TEMT,16.95,17.45,0.05,17.80,17.11,17.80,17.80,unchanged,decay (trailing lower)
