symbol,old_target,new_target,peak_price,decay_pct,trailing_valid,reason
ARI,7.24,7.17,7.06,0.02,false,decay
SOBR,1.24,1.23,1.215,0.02,false,decay
ALP,0.26,0.255,0.2578,0.02,true,trailing_close_to_decay
VIVS,0.692,0.684,0.67,0.02,false,decay
VCIG,1.22,1.22,1.24,0.02,true,no_change_trailing_holds
PLAG,1.01,1.00,1.01,0.02,true,decay_slightly_above_trailing
STFS,11.49,11.38,7.95,0.02,false,decay_underwater_no_trailing
CYCU,0.406,0.399,0.407,0.02,true,trailing
CSAI,0.383,0.383,0.39,0.02,true,no_change_trailing_holds
CETY,1.06,1.05,0.9898,0.02,false,decay_underwater_no_trailing
POM,1.15,1.14,1.13,0.02,false,decay_underwater_no_trailing
FRGT,3.94,3.90,3.93,0.02,true,decay_slightly_above_trailing
GVH,2.23,2.21,2.09,0.02,false,decay_underwater_no_trailing
BIVI,1.48,1.47,1.49,0.02,true,trailing
GLXG,0.948,0.945,0.9641,0.02,true,trailing_FILLED_closed_position
QMLS,12.36,12.24,11.9999,0.02,false,decay_underwater_no_trailing
TEMT,17.47,17.29,17.5597,0.02,true,decay_slightly_above_trailing
