symbol,avg_buy_price,peak_price,decay_pct,decay_target,trailing_target,new_target,old_target,order_id,action,reason
ARI,7.02,7.06,0.02,7.17,,7.17,7.16,6a611dbd-5fba-48e6-98a1-6ab40c8d7b0c,updated,decay-only (peak below trailing-valid threshold); prior resting 7.16 was 1 cent low (rounding); corrected to spec ceil round_up
SOBR,1.20,1.215,0.02,1.23,,1.23,1.34,6a611dbf-4799-4d74-9332-e68d0965617d,updated,decay-only (trailing invalid, peak*0.98<=avg cost); prior resting 1.34 was stale from an earlier firing and never refreshed; corrected
ALP,0.25,0.2578,0.02,0.255,0.253,0.255,0.255,6a611b1f-e4ca-4077-9594-0c0b8c122964,unchanged,decay dominates trailing narrowly; already at correct target
VIVS,0.55,0.67,0.02,0.561,0.657,0.657,0.561,6a611dc0-67cc-4335-85b5-8406a4bf4aba,updated,trailing-governed (peak 0.67 since earliest held-lot fill 2026-07-16); prior resting 0.561 incorrectly used decay-only; corrected to trailing target
VCIG,1.10,1.24,0.02,1.13,1.22,1.22,1.22,6a5a31a5-3f1e-4c2b-b973-168f11c1e52b,unchanged,trailing-governed; already at correct target
PLAG,0.98,1.01,0.02,1.00,0.99,1.00,1.00,6a611b23-ed7b-4072-a60d-c4af152422d5,unchanged,decay dominates trailing narrowly; already at correct target
STFS,11.15,10.38,0.02,11.38,,11.38,11.37,6a611dc1-1cce-43db-9760-7e54fde91004,updated,decay-only (peak below avg cost); prior resting 11.37 was 1 cent low (rounding); corrected
CSAI,0.37,0.39,0.02,0.378,0.383,0.383,0.382,6a611dc2-7128-45d8-8a02-8996d2a2ff64,updated,trailing narrowly dominates after a fresh intraday high; prior resting 0.382 (decay) superseded
CETY,1.02,0.9898,0.02,1.05,,1.05,1.04,6a611dc3-5de5-464a-85f6-1c75eee16c5b,updated,decay-only (peak below avg cost); prior resting 1.04 was 1 cent low (rounding); corrected
POM,1.11,1.13,0.02,1.14,1.11,1.14,1.13,6a611dc5-c28b-41f7-82cb-5e0bc44c5077,updated,decay dominates (trailing not strictly above avg cost); prior resting 1.13 was 1 cent low (rounding); corrected
GVH,2.16,2.09,0.02,2.21,,2.21,2.20,6a611dc6-0ac8-4184-a0b9-417389850b77,updated,decay-only (peak below avg cost); prior resting 2.20 was 1 cent low (rounding); corrected
QMLS,12.00,11.9999,0.02,12.24,,12.24,12.24,6a611b28-2878-4726-875f-94881f890462,unchanged,decay-only; already at correct target
