symbol,old_target,new_target,peak_price,decay_pct,avg_buy_price,trailing_valid,reason
ARI,7.37,7.37,7.06,0.05,7.02,false,unchanged_decay_governed
SOBR,1.34,1.34,1.37,0.05,1.20,true,unchanged_trailing_already_current
VIVS,0.665,0.665,0.6785,0.05,0.55,true,unchanged_trailing_already_current
VCIG,1.22,1.22,1.24,0.05,1.10,true,unchanged_trailing_already_current
PLAG,1.03,1.03,1.01,0.05,0.98,true,unchanged_decay_governed
STFS,11.71,11.71,10.38,0.05,11.15,false,unchanged_decay_governed
CSAI,0.389,0.389,0.39,0.05,0.37,true,unchanged_decay_governed
CETY,1.07,1.07,1.0199,0.05,1.02,false,unchanged_decay_governed
POM,1.17,1.17,1.13,0.05,1.11,false,unchanged_decay_governed
GVH,2.27,2.27,2.2099,0.05,2.16,true,unchanged_decay_governed
QMLS,12.60,12.60,11.9999,0.05,12.00,false,unchanged_decay_governed
CISS,1.39,1.39,1.34,0.05,1.32,false,unchanged_decay_governed
