symbol,avg_buy_price,peak_price,decay_pct,decay_target,trailing_target,trailing_valid,new_target,old_target,updated,reason
ARI,7.02,7.06,0.05,7.38,6.92,False,7.38,7.37,True,decay
SOBR,1.20,1.37,0.05,1.26,1.35,True,1.35,1.34,True,trailing
VIVS,0.55,0.6785,0.05,0.578,0.665,True,0.665,0.665,False,trailing
VCIG,1.10,1.24,0.05,1.16,1.22,True,1.22,1.22,False,trailing
PLAG,0.98,1.01,0.05,1.03,0.99,True,1.03,1.03,False,decay
STFS,11.15,10.38,0.05,11.71,10.18,False,11.71,11.71,False,decay
JAGX,1.05,1.06,0.05,1.11,1.04,False,1.11,1.10,True,decay
CSAI,0.37,0.39,0.05,0.389,0.383,True,0.389,0.389,False,decay
CETY,1.02,1.0199,0.05,1.08,1,False,1.08,1.07,True,decay
POM,1.11,1.13,0.05,1.17,1.11,False,1.17,1.17,False,decay
FRGT,3.24,3.205,0.05,3.41,3.15,False,3.41,3.40,True,decay
GVH,2.16,2.2099,0.05,2.27,2.17,True,2.27,2.27,False,decay
QMLS,12.00,11.5799,0.05,12.6,11.35,False,12.6,12.60,False,decay
CISS,1.32,1.34,0.05,1.39,1.32,False,1.39,1.39,False,decay
BXBL,4.79,4.86,0.05,5.03,4.77,False,5.03,5.03,False,decay
SSTK,5.88,5.90,0.05,6.18,5.79,False,6.18,6.17,True,decay
