symbol,old_target,new_target,peak_price,decay_pct,reason,quantity,avg_buy_price
ARI,7.38,7.38,7.06,0.05,"unchanged - decay wins, trailing invalid (peak<avg_cost)",14,7.02
VIVS,0.665,0.657,0.67,0.05,"trailing recompute w/ corrected buy-fill boundary (excludes bar begins_at 13:40:00 < fill 13:40:21.828); corrects prior run's off-by-one-bar peak of 0.6785",356,0.55
VCIG,1.22,1.22,1.24,0.05,"unchanged - trailing governs and matches current resting price",95,1.10
STFS,11.71,11.71,10.38,0.05,"unchanged - decay wins, trailing invalid (peak<avg_cost)",10,11.15
JAGX,1.10,1.11,1.08,0.05,"decay recompute (stale resting order below fresh decay target); trailing invalid (peak<avg_cost)",19,1.05
CSAI,0.389,0.389,0.39,0.05,"unchanged - decay wins, trailing valid but lower (0.383)",291,0.37
CETY,1.07,1.08,0.9898,0.05,"decay recompute (stale resting order below fresh decay target); trailing invalid (peak<avg_cost)",121,1.02
POM,1.17,1.17,1.13,0.05,"unchanged - decay wins, trailing invalid (peak not strictly > avg_cost)",47,1.11
FRGT,3.40,3.41,3.20,0.05,"decay recompute (stale resting order below fresh decay target); trailing invalid (peak<avg_cost)",6,3.24
GVH,2.27,2.27,2.09,0.05,"unchanged - decay wins, trailing invalid (peak<avg_cost)",23,2.16
QMLS,12.60,12.60,11.9999,0.05,"unchanged - decay wins, trailing invalid (peak<avg_cost)",4,12.00
CISS,1.39,1.39,1.34,0.05,"unchanged - decay wins, trailing invalid (peak not strictly > avg_cost)",14,1.32
SSTK,6.17,6.18,5.828,0.05,"decay recompute (stale resting order below fresh decay target); trailing invalid (peak<avg_cost)",3,5.88
TSLA,341.94,341.95,326.34,0.05,"decay recompute (stale resting order below fresh decay target); trailing invalid (peak<avg_cost)",1,325.66
RDWU,5.11,5.11,4.9972,0.05,"unchanged - decay wins, trailing invalid",1,4.86
MPG,3.56,3.56,3.37,0.05,"unchanged - decay wins, trailing invalid",2,3.3848
CONL,4.93,4.93,4.7396,0.05,"unchanged - decay wins, trailing invalid",2,4.6893
PLU,9.17,9.17,8.60,0.05,"unchanged - decay wins, trailing invalid",1,8.7267
ONDG,2.79,2.79,2.77,0.05,"unchanged - decay wins, trailing valid but lower (2.72)",3,2.6499
ALOY,7.42,7.42,7.0899,0.05,"unchanged - decay wins, trailing invalid",1,7.0599
SPCU,9.21,9.21,8.7659,0.05,"unchanged - decay wins, trailing invalid",1,8.7651
SPAX,6.97,6.97,6.6367,0.05,"unchanged - decay wins, trailing invalid",1,6.63
HYLN,4.05,4.05,3.89,0.05,"unchanged - decay wins, trailing invalid",2,3.8492
KEEL,4.76,4.76,4.5266,0.05,"unchanged - decay wins, trailing invalid",2,4.53
POEL,9.63,9.63,9.149,0.05,"unchanged - decay wins, trailing invalid",1,9.1699
OSSL,9.12,9.12,,0.05,"unchanged - decay-only, no non-interpolated trade data since buy fill",1,8.6799
ONDL,7.40,7.40,7.1698,0.05,"unchanged - decay wins, trailing invalid",1,7.0448
SPCH,6.92,6.92,6.66,0.05,"unchanged - decay wins, trailing invalid",1,6.5899
COIA,7.56,7.56,7.19,0.05,"unchanged - decay wins, trailing invalid",1,7.1949
SNDC,9.43,9.43,8.6801,0.05,"unchanged - decay wins, trailing invalid",1,8.9774
MODD,3.10,3.10,2.85,0.05,"unchanged - decay wins, trailing invalid",3,2.9499
TAOX,3.61,3.61,3.50,0.05,"unchanged - decay wins, trailing valid but lower (3.43)",2,3.4299
IREG,9.04,9.04,8.6107,0.05,"unchanged - decay wins, trailing invalid",1,8.605
GLXU,6.90,6.90,6.3797,0.05,"unchanged - decay wins, trailing invalid",1,6.57
XHG,1.10,1.10,0.9812,0.05,"unchanged - decay wins, trailing invalid",9,1.04
AMPG,6.05,6.05,5.76,0.05,"unchanged - decay wins, trailing invalid",1,5.7599
BAOS,1.73,1.73,1.61,0.05,"unchanged - decay wins, trailing invalid",6,1.6399
EXYN,3.13,3.19,3.25,0.05,"trailing exceeded decay - peak ran up to 3.25 since initial order was set",3,2.9749
ODYS,5.10,5.10,4.80,0.05,"unchanged - decay wins, trailing invalid",2,4.8499
KSCP,1.65,1.65,1.5974,0.05,"unchanged - decay wins, trailing invalid",6,1.5699
COHH,7.84,7.84,7.2464,0.05,"unchanged - decay wins, trailing invalid",1,7.4572
AAOG,3.21,3.21,3.015,0.05,"unchanged - decay wins, trailing invalid",3,3.05
TOPP,0.65,0.641,0.61,0.05,"decay recompute (stale resting order above fresh decay target); trailing invalid (peak not strictly > avg_cost)",16,0.61
AXTX,6.07,6.07,5.7294,0.05,"unchanged - decay wins, trailing invalid",1,5.7762
AXTU,3.24,3.24,3.07,0.05,"unchanged - decay wins, trailing invalid",3,3.0788
AEHG,8.92,8.92,8.50,0.05,"unchanged - decay wins, trailing invalid",1,8.4861
SKHL,10.10,10.10,9.71,0.05,"unchanged - decay wins, trailing invalid",1,9.6099
CRWU,3.54,3.54,3.335,0.05,"unchanged - decay wins, trailing invalid",2,3.37
IRAB,10.48,10.48,,0.05,"unchanged - decay-only, no non-interpolated trade data since buy fill",1,9.98
CBRG,4.79,4.79,4.50,0.05,"unchanged - decay wins, trailing invalid",2,4.5572
ATER,0.51,0.504,0.4825,0.05,"decay recompute (stale resting order above fresh decay target); trailing invalid",20,0.48
EHGO,2.31,2.31,2.19,0.05,"unchanged - decay wins, trailing invalid",4,2.1938
CDXS,1.59,1.59,1.57,0.05,"unchanged - decay wins, trailing valid but lower (1.54)",6,1.5094
