symbol,old_target,new_target,peak_price,decay_pct,reason
AAOG,3.11,3.11,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
AEHG,8.66,8.66,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
AMPG,5.88,5.88,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
ATER,0.49,0.49,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
AXTU,3.14,3.14,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
AXTX,5.9,5.9,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
BAOS,1.67,1.67,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
BCAR,9.27,9.27,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
CBRG,4.65,4.65,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
CETY,1.08,1.05,1.0199,0.02,decay-only (peak never exceeded buy price); decay_pct 0.05->0.02 bracket rolled to after-3:30
COHH,7.61,7.61,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
CRWU,3.44,3.44,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
CSAI,0.377,0.377,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
EXYN,3.19,3.19,3.25,0.02,"trailing (peak*0.98) governs, unchanged; decay_target 3.03 lower"
FRGT,3.3,3.3,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
GLXU,6.7,6.7,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
GVH,2.2,2.2,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
HYLN,3.93,3.93,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
IRAB,10.18,10.18,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
IREG,8.78,8.78,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
JAGX,1.07,1.07,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
KEEL,4.62,4.62,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
KSCP,1.6,1.6,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
MODD,3.01,3.01,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
MPG,3.45,3.45,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
ODYS,4.95,4.95,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
PLU,8.9,8.9,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
POEL,9.35,9.35,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
POM,1.17,1.14,1.13,0.02,"decay-only (trailing invalid, peak*0.98=1.11 not > avg_buy 1.11); decay_pct rolled to after-3:30"
QMLS,12.6,12.24,11.9999,0.02,decay-only (peak never exceeded buy price); decay_pct rolled to after-3:30
SKHL,9.8,9.8,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
SKYQ,3.98,3.98,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
SNDC,9.16,9.16,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
SPAX,6.76,6.76,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
SPCH,6.72,6.72,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
SPCU,8.95,8.95,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
STFS,11.37,11.37,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
TAOX,3.5,3.5,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
TPET,0.275,0.275,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
TSLA,341.95,332.18,326.34,0.02,"decay-only (trailing invalid, peak*0.98=319.72 < avg_buy 325.66); decay_pct rolled to after-3:30"
VCIG,1.22,1.22,1.24,0.02,"trailing (peak*0.98) governs, unchanged; decay_target 1.13 lower"
VIVS,0.665,0.665,0.6785,0.02,"trailing (peak*0.98) governs, unchanged from prior firing; decay_target 0.561 lower"
XHG,1.06,1.06,n/a,0.02,already refreshed for after-3:30 bracket earlier this firing cycle; not recomputed
