symbol,old_target,new_target,peak_price,decay_pct,action,reason
VIVS,0.657,0.665,0.6785,0.05,updated,"trailing_target=0.665 (peak 0.6785*0.98) exceeds decay_target=0.578 and old resting price; order refreshed higher"
VCIG,1.22,1.22,1.24,0.05,no_change,"trailing_target=1.22 equals current resting price; decay_target=1.16 lower; no update needed"
STFS,11.71,11.71,10.38,0.05,no_change,"peak 10.38 below avg_buy_price 11.15, trailing invalid; decay_target=11.71 unchanged"
CSAI,0.389,0.388,0.39,0.05,updated,"sub-penny decay_target recomputed to 0.388 (>$0.0005 from old 0.389); trailing_target=0.383 valid but lower"
GVH,2.27,2.27,2.2099,0.05,no_change,"decay_target=2.27 unchanged; trailing_target=2.17 valid but lower than decay"
QMLS,12.61,12.6,11.9999,0.05,updated,"peak barely at avg_buy_price, trailing invalid; decay_target recomputed to 12.60, differs from old 12.61"
AMPG,6.05,6.05,5.83,0.05,no_change,"peak 5.83 below avg_buy_price 5.7599*1... trailing invalid; decay_target=6.05 unchanged"
ATER,0.504,0.504,0.4825,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=0.504 unchanged"
CBRG,4.79,4.79,4.6799,0.05,no_change,"trailing_target=4.59 valid but lower than decay_target=4.79; unchanged"
SKHL,10.1,10.1,9.73,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=10.10 unchanged"
AAOG,3.21,3.21,3.1,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=3.21 unchanged"
COHH,7.84,7.84,7.5437,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=7.84 unchanged"
BAOS,1.73,1.73,1.61,0.05,no_change,"peak 1.61 below avg_buy_price 1.6399, trailing invalid; decay_target=1.73 unchanged"
XHG,1.1,1.1,1.01,0.05,no_change,"illiquid symbol (mostly interpolated bars, 6 real prints); peak 1.01 below avg_buy_price 1.04, trailing invalid; decay_target=1.10 unchanged"
IREG,9.05,9.04,9.0,0.05,updated,"decay_target recomputed to 9.04 (from 9.05, rounding drift); trailing_target=8.82 valid but lower"
MODD,3.1,3.1,2.925,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=3.10 unchanged"
SNDC,9.43,9.43,9.1082,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=9.43 unchanged"
SPCH,6.92,6.92,6.66,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=6.92 unchanged"
KEEL,4.76,4.76,4.5899,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=4.76 unchanged"
SPAX,6.97,6.97,6.72,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=6.97 unchanged"
SPCU,9.21,9.21,8.89,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=9.21 unchanged"
SKYQ,4.1,4.1,3.912,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=4.10 unchanged"
BCAR,9.55,9.55,9.1,0.05,no_change,"peak barely above avg_buy_price, trailing invalid; decay_target=9.55 unchanged"
TPET,0.284,0.281,0.2738,0.05,updated,"sub-penny decay_target recomputed to 0.281 (from 0.284); trailing_target=0.269 valid but lower"
BXBL,3.66,3.66,3.6399,0.05,no_change,"bought today, only ~58min elapsed (<60min threshold) so auto-liquidate check skipped; trailing_target=3.57 valid but below decay_target=3.66; unchanged"
DWSN,4.5,4.5,4.37,0.05,no_change,"bought today, <60min elapsed so auto-liquidate check skipped; trailing_target=4.29 valid but below decay_target=4.50; unchanged"
TE,4.23,4.23,4.07,0.05,no_change,"bought today, <60min elapsed so auto-liquidate check skipped; peak below breakeven, trailing invalid; decay_target=4.23 unchanged"
OTLK,1.01,1.01,0.973,0.05,no_change,"bought today, <60min elapsed so auto-liquidate check skipped; peak below breakeven, trailing invalid; decay_target=1.01 unchanged"
INDP,1.8,1.8,1.815,0.05,no_change,"bought today, <60min elapsed so auto-liquidate check skipped; trailing_target=1.78 valid but below decay_target=1.80; unchanged"
