symbol,action,old_target,new_target,peak_price,avg_buy_price,decay_pct,reason,exit_price
CBRG,auto_liquidate,5.29,,4.835,5.0399,,auto_liquidate_never_touched_breakeven_60min,4.4901
COHH,auto_liquidate,8.32,,7.715,7.9200,,auto_liquidate_never_touched_breakeven_60min,6.9361
BIDG,auto_liquidate,8.12,,7.690,7.7299,,auto_liquidate_never_touched_breakeven_60min,6.9301
AMKL,auto_liquidate,9.21,,8.460,8.7681,,auto_liquidate_never_touched_breakeven_60min,7.7301
CIEG,auto_liquidate,6.79,,6.315,6.4666,,auto_liquidate_never_touched_breakeven_60min,5.5401
ASTY,auto_liquidate,8.02,,7.3999,7.6399,,auto_liquidate_never_touched_breakeven_60min,7.3001
PLTD,target_updated,6.77,6.78,6.47,6.4499,0.05,decay_target(trailing_invalid_peak_below_cost),
CRIS,target_updated,3.24,3.25,3.119,3.0858,0.05,decay_target(trailing_invalid_peak_below_cost),
ENVX,no_change,3.96,3.96,3.77,3.768,0.05,decay_target(diff_below_threshold),
VWAV,target_updated,1.35,1.36,1.34,1.2899,0.05,decay_target_gt_trailing(1.36_vs_1.32),
