symbol,old_target,new_target,peak_price,decay_pct,avg_buy_price,reason
PLTD,6.77,6.78,6.47,0.05,6.45,decay_pct reset for new day (fresh 0.05 bracket); trailing invalid (peak<avg_buy); target updated
CRIS,3.24,3.25,3.119,0.05,3.09,decay_pct reset for new day (fresh 0.05 bracket); trailing invalid (peak<avg_buy); target updated
ENVX,3.96,3.96,3.77,0.05,3.77,no change; decay_target unchanged from prior setting
TOYO,4.81,4.81,4.59,0.05,4.58,initial target from Phase B buy this cycle; no change
TPET,0.221,0.221,0.2098,0.05,0.21,initial target from Phase B buy this cycle; no change
BTBT,1.3,1.3,1.25,0.05,1.23,initial target from Phase B buy this cycle; no change
SILO,2.86,2.86,2.7609,0.05,2.72,initial target from Phase B buy this cycle; no change
EPM,3.53,3.53,3.37,0.05,3.36,initial target from Phase B buy this cycle; no change
SAGT,0.758,0.756,0.7217,0.05,0.72,avg_buy_price from positions (0.72) vs raw fill (0.7219) rounding; decay_target recomputed to 0.756; target updated
LABD,6.65,6.65,6.41,0.05,6.33,initial target from Phase B buy this cycle; no change
