symbol,old_target,new_target,peak_price,decay_pct,reason
BTBT,1.29,1.30,1.27,0.05,decay_target_recompute_higher
PLTD,6.77,6.78,6.47,0.05,decay_target_recompute_higher
CRIS,3.24,3.25,3.119,0.05,decay_target_recompute_higher
TOYO,4.81,4.81,4.5661,0.05,unchanged_within_tolerance
SILO,2.86,2.86,2.8194,0.05,unchanged_within_tolerance
EPM,3.53,3.53,3.37,0.05,unchanged_within_tolerance
SAGT,0.756,0.756,0.7219,0.05,unchanged_within_tolerance
TPET,0.221,0.221,0.2134,0.05,unchanged_within_tolerance
LABD,6.65,6.65,6.455,0.05,unchanged_within_tolerance
ENVX,3.96,3.96,3.77,0.05,unchanged_within_tolerance
