timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-11T15:37:00Z,WYHG,5.30,5.30,5.23,4.44,0.05,no_change_needed;dd=-0.0813;sessions_held=2
2026-09-11T15:37:00Z,BANL,7.51,7.51,7.34,5.70,0.05,no_change_needed;dd=-0.0935;sessions_held=3
2026-09-11T15:37:00Z,OCGN,1.18,1.18,1.15,1.01,0.05,no_change_needed;dd=-0.0758;sessions_held=2
2026-09-11T15:37:00Z,FJET,2.33,2.33,2.23,1.92,0.05,no_change_needed;dd=-0.1018;sessions_held=2
2026-09-11T15:37:00Z,BBOT,6.03,6.03,5.79,5.11,0.05,no_change_needed;dd=-0.1115;sessions_held=1
2026-09-11T15:37:00Z,CVV,5.19,5.19,4.95,4.56,0.05,no_change_needed;dd=-0.0192;sessions_held=0
2026-09-11T15:37:00Z,SGLY,1.86,1.86,1.82,1.580,0.05,no_change_needed;dd=-0.0762;sessions_held=0
2026-09-11T15:37:00Z,KPTI,1.38,1.38,1.34,1.24,0.05,no_change_needed;dd=0.0115;sessions_held=0
2026-09-11T15:37:00Z,SMR,9.54,9.54,9.1865,8.84,0.05,no_change_needed;dd=-0.0226;sessions_held=0
2026-09-11T15:37:00Z,TLS,4.38,4.38,4.18,4.0308,0.05,no_change_needed;dd=-0.0267;sessions_held=0
