symbol,last_price,pct_change,skip_reason,detail
TAOP,0.7773,-0.19509164336750545,spread_pct,0.3118 > 0.08 (a1)
VTAK,0.34,-0.16543937162493855,spread_pct,0.0847 > 0.08 (a1)
PLAG,0.5961,-0.14451779563719863,spread_pct,0.1955 > 0.08 (a1)
RITR,0.1153,-0.11782708492731453,spread_pct,0.1267 > 0.08 (a1)
RNAZ,6.49,-0.10482758620689653,spread_pct,0.0827 > 0.08 (a1)
RYDE,0.6049,-0.10371906949177664,spread_pct,0.1556 > 0.08 (a1)
YOUL,0.7059,-0.09488395948198496,spread_pct,0.1768 > 0.08 (a1)
SOBR,0.6249,-0.08264826776277161,spread_pct,0.1039 > 0.08 (a1)
ZBAO,0.2314,-0.08247422680412365,spread_pct,0.1115 > 0.08 (a1)
SLGB,0.7551,-0.07892168821663818,spread_pct,0.113 > 0.08 (a1)
FBGL,0.5107,-0.07145454545454545,spread_pct,0.1655 > 0.08 (a1)
TLSA,0.95,-0.06862745098039222,spread_pct,0.1503 > 0.08 (a1)
YMAT,1.82,-0.06666666666666661,spread_pct,0.1873 > 0.08 (a1)
DSC,6.16,-0.06525037936267067,spread_pct,0.0934 > 0.08 (a1)
IZM,0.2591,-0.05952813067150644,spread_pct,0.0903 > 0.08 (a1)
TRNR,3.08,-0.058103975535168176,spread_pct,0.1556 > 0.08 (a1)
ANPA,3.3001,-0.05711428571428571,spread_pct,0.2143 > 0.08 (a1)
NSRX,2.92,-0.05593275137407049,spread_pct,0.0841 > 0.08 (a1)
SNTG,2.2001,-0.055751072961373445,spread_pct,0.1132 > 0.08 (a1)
AHMA,1.58,-0.053892215568862194,spread_pct,0.0818 > 0.08 (a1)
JZXN,1.23,-0.05384615384615389,spread_pct,0.0813 > 0.08 (a1)
WBUY,0.8511,-0.2400892857142858,prior_spike,"ratio=1.78,vol_spike=10688x (a3)"
AXTL,2.33,-0.08267716535433069,prior_spike,"ratio=1.43,vol_spike=6.78x (a3)"
CPHI,1.7502,-0.053945945945946004,prior_spike,"ratio=27.9,vol_spike=1680x (a3)"
LODE,3.44,-0.11340206185567009,earnings_recency,days_since_earnings=1 (a4)
OPTT,0.17,-0.0745781164942841,earnings_recency,days_since_earnings=1 (a4)
TV,2.64,-0.05376344086021502,earnings_recency,days_since_earnings=1 (a4)
IMCC,0.1187,-0.10818933132982717,compliance_flag,CC4/Noncompliant (a5)
TNMG,0.3618,-0.09550000000000003,compliance_flag,CC4/Noncompliant (a5)
COOT,0.3798,-0.09355608591885432,compliance_flag,CC4/Noncompliant (a5)
ZYBT,1.6565,-0.0797222222222222,compliance_flag,CC4/Noncompliant (a5)
CYCU,0.3339,-0.06991643454039001,compliance_flag,CC4/Noncompliant (a5)
SRXH,1.705,-0.052777777777777764,compliance_flag,CB4/Noncompliant (a5)
RMSG,0.3897,-0.05251641137855582,compliance_flag,CC4/Noncompliant (a5)
SXTC,0.2559,-0.23060733613950687,reverse_split_proxy,split_ratio_proxy=4139.9 > 15 (a6)
CWD,0.57,-0.17570498915401309,reverse_split_proxy,split_ratio_proxy=83.7 > 15 (a6)
LGHL,1.03,-0.16935483870967738,reverse_split_proxy,split_ratio_proxy=370.3 > 15 (a6)
PAVS,5.0901,-0.13873096446700517,reverse_split_proxy,split_ratio_proxy=29343.3 > 15 (a6)
WETO,0.0988,-0.13636363636363638,reverse_split_proxy,split_ratio_proxy=25.3 > 15 (a6)
BIYA,2.36,-0.11940298507462696,reverse_split_proxy,split_ratio_proxy=92.6 > 15 (a6)
KIDZ,0.485,-0.10878353546490266,reverse_split_proxy,split_ratio_proxy=2986.3 > 15 (a6)
AEHL,0.6549,-0.08610103265420035,reverse_split_proxy,split_ratio_proxy=76.6 > 15 (a6)
LBGJ,0.0287,-0.0801282051282051,reverse_split_proxy,split_ratio_proxy=6103.4 > 15 (a6)
ZNB,0.253,-0.07326007326007332,reverse_split_proxy,split_ratio_proxy=9832.0 > 15 (a6)
UCAR,0.93,-0.06999999999999995,reverse_split_proxy,split_ratio_proxy=48.9 > 15 (a6)
MASK,1.42,-0.06578947368421058,reverse_split_proxy,split_ratio_proxy=24.3 > 15 (a6)
LABT,2.8608,-0.06509803921568635,reverse_split_proxy,split_ratio_proxy=34.5 > 15 (a6)
MF,5.35,-0.0646853146853147,reverse_split_proxy,split_ratio_proxy=20.5 > 15 (a6)
VSME,1.18,-0.06349206349206354,reverse_split_proxy,split_ratio_proxy=53.7 > 15 (a6)
VHUB,0.7513,-0.061696015986012244,reverse_split_proxy,split_ratio_proxy=52.3 > 15 (a6)
NIVF,1.1519,-0.05581967213114758,reverse_split_proxy,split_ratio_proxy=494.0 > 15 (a6)
OKLL,3.13,-0.05151515151515149,reverse_split_proxy,split_ratio_proxy=53.9 > 15 (a6)
