symbol,last_price_at_scan,pct_change_at_scan,skip_reason,detail
PFSA,0.95,-0.2213114754098361,a1_spread,spread_pct=0.095 (>0.08)
WETO,0.038,-0.15555555555555556,a1_spread,spread_pct=0.1315 (>0.08)
TNMG,0.3201,-0.14090177133655393,a1_spread,spread_pct=0.0876 (>0.08)
TAOP,0.7322,-0.11772502711170021,a1_spread,spread_pct=0.1639 (>0.08)
ELPW,0.1731,-0.11683673469387756,a1_spread,spread_pct=0.1443 (>0.08)
INBS,1.52,-0.11627906976744183,a1_spread,spread_pct=0.1503 (>0.08)
ZYBT,1.36,-0.11111111111111106,a1_spread,spread_pct=0.1071 (>0.08)
REFR,0.4132,-0.10562770562770564,a1_spread,spread_pct=0.1382 (>0.08)
FIEE,2.52,-0.1870967741935484,a2_atr,atr_3_pct=1.10 (>0.80)
CJMB,2.23,-0.17407407407407413,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
NXL,0.3697,-0.16357466063348422,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
FFAI,4.44,-0.13281249999999994,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
EDBL,2.585,-0.11168384879725092,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
PHGE,0.1756,-0.11043566362715292,a5_compliance,financial_status_indicator=CB4 financial_status_description=Noncompliant
GSUN,0.1801,-0.10174563591022444,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
YYAI,2.347,-0.21766666666666667,a6_split_proxy,split_ratio_proxy=5013.7 (>15)
SXTC,0.0573,-0.17908309455587398,a6_split_proxy,split_ratio_proxy=18497 (>15)
VTIX,1.88,-0.1376146788990827,a6_split_proxy,split_ratio_proxy=52.10 (>15)
ZCMD,1.07,-0.13008130081300806,a6_split_proxy,split_ratio_proxy=939.03 (>15)
MF,5.49,-0.11308562197092085,a6_split_proxy,split_ratio_proxy=20.03 (>15)
GMEX,1.6199,-0.10005555555555563,a6_split_proxy,split_ratio_proxy=4913.8 (>15)
ENTX,3.5,-0.10714285714285712,a3_prior_spike,"peak_to_baseline_ratio=2.32 volume_spike_ratio=239.96 (07-27 spike, close 2.05->3.92)"
NAUT,1.38,-0.16867469879518074,a4_earnings_recency,"reported earnings today 2026-07-28 am, days_since_earnings=0"
NVTS,9.73,-0.14723926380368096,a4_earnings_recency,"reported earnings 2026-07-27 pm, days_since_earnings=1"
