symbol,last_price,pct_change,skip_reason,detail_metric,detail_value
NCRA,2.4998,-0.24038461538461536,compliance,financial_status_indicator/description,CC4/Noncompliant
LBGJ,0.0186,-0.2250000000000001,reverse_split_proxy,split_ratio_proxy,9516
WETO,0.0294,-0.22102425876010787,reverse_split_proxy,split_ratio_proxy,85.4
AGRZ,0.27,-0.2201294879340788,compliance,financial_status_indicator/description,CC10/Noncompliant
TDOC,6.925,-0.21474945533769063,earnings_recency,days_since_earnings,1
PHAR,9.82,-0.1856786011656953,earnings_recency,days_since_earnings,0
MFI,8.54,-0.1557377049180327,spread,spread_pct,0.220
DAMD,1.89,-0.15333333333333332,reverse_split_proxy,split_ratio_proxy,16.47
AIXI,0.9876,-0.15126050420168063,reverse_split_proxy,split_ratio_proxy,54.9
EGG,3.42,-0.1454081632653061,stale_quote_gap_exceeded,ask_gap_pct/last_real_price,0.0386/3.37
SXC,7.82,-0.1394230769230769,earnings_recency,days_since_earnings,0
CNF,2.37,-0.13924050632911394,spread,spread_pct,0.1435
PACK,5.13,-0.13869863013698625,earnings_recency,days_since_earnings,0
BIOT,0.4809,-0.1355115158007499,reverse_split_proxy,split_ratio_proxy,104.0
VIVK,2.065,-0.13541666666666657,reverse_split_proxy,split_ratio_proxy,2518
UIS,2.975,-0.13150289017341044,earnings_recency,days_since_earnings,1
COUR,5.195,-0.13118122977346275,earnings_recency,days_since_earnings,1
STFS,4.1912,-0.12866108786610883,reverse_split_proxy,split_ratio_proxy,24.8
LSPD,9.43,-0.12806539509536785,earnings_recency,days_since_earnings,0
MBRX,1.225,-0.1250000000000001,reverse_split_proxy,split_ratio_proxy,15.3
CTW,2.41,-0.1209677419354838,spread,spread_pct,0.1162
QBTZ,5.03,-0.11111111111111106,reverse_split_proxy,split_ratio_proxy,19.25
ESRT,5.14,-0.1086206896551724,earnings_recency,days_since_earnings,1
CMTG,1.845,-0.10628019323671486,earnings_recency,days_since_earnings,1
ASTL,3.80,-0.10304449648711933,earnings_recency,days_since_earnings,1
VBIO,0.2531,-0.10178571428571437,compliance,financial_status_indicator/description,CC4/Noncompliant
