symbol,last_price_at_scan,pct_change_at_scan,failed_guardrail,reason,metric_value,threshold
GCTK,0.6,-0.23076923076923084,a3_prior_spike,peak_to_baseline_ratio>=2.5 (also volspike combo),ratio=2.304;volspike=11.29,ratio>=2.5 OR (ratio>=1.35 AND volspike>=5.0)
VMAR,0.6361,-0.21941342496011776,a1_spread,spread_pct>0.08,0.1045,0.08
SPRC,7.18,-0.1747126436781609,a3_prior_spike,ratio>=1.35 AND volspike>=5.0,ratio=2.208;volspike=14.47,ratio>=2.5 OR (ratio>=1.35 AND volspike>=5.0)
BRLS,0.74,-0.11483253588516744,a1_spread,spread_pct>0.08,0.1842,0.08
DAMD,1.4799,-0.11383233532934128,a6_reverse_split_proxy,split_ratio_proxy>15,20.5,15
TU,9.61,-0.10770659238625814,a4_earnings_recency,days_since_earnings<=3,0,3
ZNB,2.53,-0.10600706713780927,a6_reverse_split_proxy,split_ratio_proxy>15,6691,15
RENT,3.1901,-0.10138028169014075,a7_thin_liquidity_stale_quote,ask_gap_pct>0.03 (gap-exceeded),0.1285,0.03
CERS,2.28,-0.2110726643598617,a4_earnings_recency,days_since_earnings<=3,1,3
FATN,4.44,-0.13281249999999994,a4_earnings_recency,days_since_earnings<=3,1,3
DCX,1.03,-0.16935483870967738,a6_reverse_split_proxy,split_ratio_proxy>15,3341,15
GMEX,1.27,-0.13013698630136983,a6_reverse_split_proxy,split_ratio_proxy>15,6266,15
BTOG,0.71,-0.12690605017215945,a6_reverse_split_proxy,split_ratio_proxy>15,44.2,15
SXTC,0.0639,-0.12585499316005472,a2_atr_guardrail,atr_14_pct>0.80,4.989,0.80
NCRA,2.14,-0.10084033613445369,a3_prior_spike,ratio>=1.35 AND volspike>=5.0 (also ratio close to 2.5),ratio=2.360;volspike=14.35,ratio>=2.5 OR (ratio>=1.35 AND volspike>=5.0)
