symbol,guardrail,reason,metric
MSGY,a1_spread,spread_pct 0.0959 > 0.08,bid=0.2232 ask=0.2464 last=0.242
SBEV,a1_spread,spread_pct 0.1688 > 0.08,bid=0.2794 ask=0.33 last=0.2997
ATXG,a1_spread,spread_pct 0.1137 > 0.08,bid=2.96 ask=3.30 last=2.99
PFSA,a1_spread,spread_pct 0.1753 > 0.08,bid=0.8404 ask=0.9996 last=0.9081
IPCX,a1_spread,spread_pct 0.50 > 0.08,bid=6.00 ask=9.55 last=7.10
CSAI,a1_spread,spread_pct 0.1123 > 0.08,bid=5.13 ask=5.74 last=5.435
ZKIN,a1_spread,spread_pct 0.1333 > 0.08,bid=1.18 ask=1.34 last=1.20
SFWL,a1_spread,spread_pct 0.1667 > 0.08,bid=0.90 ask=1.05 last=0.90
UUU,a1_spread,spread_pct 0.1111 > 0.08,bid=3.05 ask=3.41 last=3.24
WTF,a1_spread,spread_pct 0.0902 > 0.08,bid=2.81 ask=3.05 last=2.6601
SMTK,a1_spread,spread_pct 0.1021 > 0.08,bid=0.2011 ask=0.2218 last=0.2027
WETH,a1_spread,passed at initial check (0.069) but spread widened to 0.131 > 0.08 on re-check at order time as price fell rapidly,bid=0.9216 ask=1.05 last=0.9799
MGRX,a2_atr,atr3_pct 0.9435 > 0.80,atr14_pct=0.3072 atr3_pct=0.9435
HKIT,a2_atr,atr14_pct 1.364 > 0.80,atr14_pct=1.364 atr3_pct=0.105
YHC,a2_atr,atr14_pct 2.022 > 0.80,atr14_pct=2.022 atr3_pct=0.1925
NUWE,a2_atr,atr3_pct 1.328 > 0.80,atr14_pct=0.5024 atr3_pct=1.328
CNET,a3_prior_spike,peak_to_baseline_ratio 1.73 >=1.35 AND volume_spike_ratio 936.7 >=5.0,ratio=1.73 vol_spike=936.66
SITC,a4_earnings_recency,Q2 earnings scheduled today 2026-08-03 pm (same-day report risk),report_date=2026-08-03
ZEO,a5_compliance,financial_status_indicator CC4 / Noncompliant,indicator=CC4
CYAB,a5_compliance,financial_status_indicator CC4 / Noncompliant,indicator=CC4
CIGL,a5_compliance,financial_status_indicator CC4 / Noncompliant,indicator=CC4
GNPX,a5_compliance,financial_status_indicator CC4 / Noncompliant,indicator=CC4
VSEE,a5_compliance,financial_status_indicator CC4 / Noncompliant,indicator=CC4
NIVF,a6_reverse_split_proxy,split_ratio_proxy 762.0 > 15,high_52w=513.0 last=0.6731
FTFT,a6_reverse_split_proxy,split_ratio_proxy 68.98 > 15,high_52w=62.08 last=0.90
NEXR,a6_reverse_split_proxy,split_ratio_proxy 360.0 > 15,high_52w=1108.7846 last=3.08
CRCG,a6_reverse_split_proxy,split_ratio_proxy 30.1 > 15,high_52w=209.20 last=6.95
CCUP,a6_reverse_split_proxy,split_ratio_proxy 28.79 > 15,high_52w=34.83 last=1.2099
SHPH,a6_reverse_split_proxy,split_ratio_proxy 16.16 > 15,high_52w=55.90 last=3.4601
GMEU,a7_thin_liquidity,ask_gap_pct 0.0375 > 0.03,ask=6.36 last_real_price=6.130
