symbol,reason,metric_name,metric_value
SMTK,a1_spread,spread_pct,0.1094
FTRK,a1_spread,spread_pct,0.1625
IPST,a1_spread,spread_pct,0.1019
BRLS,a1_spread,spread_pct,0.1913
JDZG,a1_spread,spread_pct,0.1279
GYGY,a1_spread,spread_pct,0.0917
PLAG,a1_spread,spread_pct,0.1731
INHD,a2_atr,atr3_pct,1.1112
CISS,a2_atr,atr14_pct,2.0907
PN,a2_atr,atr3_pct,1.0787
HYFM,a3_prior_spike,ratio=4.486;vol_spike,5623.14
UPC,a3_prior_spike,ratio=1.812;vol_spike,195.54
EDBL,a3_prior_spike,ratio=2.329;vol_spike,174.67
GSUN,a3_prior_spike,ratio=1.653;vol_spike,276.41
KIDZ,a3_prior_spike,ratio=1.647;vol_spike,536.87
EZRA,a3_prior_spike,ratio=1.778;vol_spike,3151.75
VMD,a4_earnings_recency,days_since_earnings,1
CERT,a4_earnings_recency,days_since_earnings,0
SLXN,a6_reverse_split_proxy,split_ratio_proxy,54.5
IONZ,a6_reverse_split_proxy,split_ratio_proxy,38.99
QBTZ,a6_reverse_split_proxy,split_ratio_proxy,31.65
RKLZ,a6_reverse_split_proxy,split_ratio_proxy,57.16
NEXR,a6_reverse_split_proxy,split_ratio_proxy,433.12
DAMD,a6_reverse_split_proxy,split_ratio_proxy,20.82
TSEG,a7_thin_liquidity_stale_quote,ask_gap_pct,0.0593
AXTU,a7_thin_liquidity_stale_quote,ask_gap_pct,0.0499
AXTL,a7_thin_liquidity_stale_quote,ask_gap_pct,0.0321
