symbol,last_price_at_scan,pct_change_at_scan,skip_stage,skip_reason
JUNS,0.0834,-0.19498,a1_spread,spread_pct=0.1029
SPPL,3.03,-0.14164,a1_spread,spread_pct=0.1586
DXST,2.33,-0.14022,a1_spread,spread_pct=0.0899
MGN,0.1366,-0.11068,a1_spread,spread_pct=0.1268
TOMZ,1.7324,-0.10238,a1_spread,spread_pct=0.1559
ADGM,0.62,-0.225,a3_prior_spike,"peak_to_baseline=2.041 volume_spike=19291.9"
SUJA,9,-0.21053,a4_earnings_recency,days_since_earnings=1
BBBY,4.42,-0.20504,a4_earnings_recency,days_since_earnings=1
EOSE,3.5499,-0.18393,a4_earnings_recency,days_since_earnings=0
ELPW,0.1337,-0.16123,a6_reverse_split_proxy,split_ratio_proxy=42284
ENSC,0.3246,-0.15513,a3_prior_spike,"peak_to_baseline=1.6824 volume_spike=26.38"
GCTK,0.5124,-0.14400,a3_prior_spike,"peak_to_baseline=1.7328 volume_spike=8.495"
PWCM,1.4401,-0.12721,a6_reverse_split_proxy,split_ratio_proxy=47.73
EVGO,1.515,-0.12428,a4_earnings_recency,days_since_earnings=0
BZFD,1.07,-0.12295,a4_earnings_recency,days_since_earnings=1
GYGY,3.5101,-0.11807,a2_atr,atr_3_pct=1.4622
FUSE,0.9088,-0.11767,a3_prior_spike,"peak_to_baseline=1.8569 volume_spike=357.9"
EGHT,1.9909,-0.11121,a4_earnings_recency,days_since_earnings=1
NAGE,3.1,-0.10663,a4_earnings_recency,days_since_earnings=1
AMOD,4.0437,-0.10538,a5_compliance,"financial_status_indicator=CC4 description=Noncompliant"
THRY,2.67,-0.10101,a4_earnings_recency,days_since_earnings=1
