symbol,skip_reason,detail
RCON,a5_compliance,CC4/Noncompliant; a6_split_ratio_proxy=66.9
ONFO,a5_compliance,CC4/Noncompliant; a6_split_ratio_proxy=45.6
RITR,a5_compliance,CC4/Noncompliant; a6_split_ratio_proxy=38.3
ZJYL,a1_spread,spread_pct=0.107
SXTC,a6_split_ratio_proxy,split_ratio_proxy=19352.8
GSUN,a5_compliance,CC4/Noncompliant
FRGT,a6_split_ratio_proxy,split_ratio_proxy=17.8
INLF,a6_split_ratio_proxy,split_ratio_proxy=833.0
CUPR,a1_spread+a6_split_ratio_proxy,spread_pct=0.147; split_ratio_proxy=24.9
YYAI,a6_split_ratio_proxy,split_ratio_proxy=111569.6
TNMG,a5_compliance,CC4/Noncompliant; a6_split_ratio_proxy=25.3
GYGY,a1_spread,spread_pct=0.087
ONCO,a6_split_ratio_proxy,split_ratio_proxy=232.8
MGN,a5_compliance,CC4/Noncompliant; a6_split_ratio_proxy=68.5
PMEC,a1_spread+a5_compliance,spread_pct=0.100; CC4/Noncompliant
JLHL,a3_prior_spike,"peak_to_baseline_ratio=1.883, volume_spike_ratio=23.62 (ratio>=1.35 and vol_spike>=5.0)"
VRRM,a3_prior_spike,"peak_to_baseline_ratio=1.462, volume_spike_ratio=8.08 (ratio>=1.35 and vol_spike>=5.0)"
EBS,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
SNES,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
BTMD,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
TEAD,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
GOGO,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
NINE,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
RUN,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
PTON,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
CCLD,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
GPMT,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
ACET,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
KVHI,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
XERS,a4_earnings_recency,"days_since_earnings=0 (report date 2026-08-06 am, actual still null)"
VNDA,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
PLTK,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-06 am)
ALTO,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-05 pm)
