symbol,last_price,pct_change,failed_guardrail,skip_reason,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,last_real_price
NAMI,3.29,-0.24943310657596374,a6,split_ratio_proxy=15.58>15,,,,,,CC0,,15.58,,
HUIZ,1.3039,-0.22289156626506018,a3,peak_to_baseline_ratio=2.341>=1.35 AND volume_spike_ratio=1221.4>=5.0 (8/7 spike),,,2.341,1221.4,,,,,,
RITR,0.1296,-0.2174698795180724,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
LRHC,0.6709,-0.20999880682496117,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
CLNN,4.28,-0.19886363636363633,a7,ask_gap_pct=0.0374>0.03 (gap-exceeded),,,,,,,,,0.0374,4.28
YMT,0.2816,-0.18561151079136692,a1,spread_pct=0.1254>0.08,,,,,,,,,,
WWR,0.6354,-0.17870177267987486,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
DSY,3.81,-0.17173913043478253,a6,split_ratio_proxy=38.48>15,,,,,,CC0,,38.48,,
ENSC,0.4386,-0.16993464052287577,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
OFAL,0.6075,-0.16041811846689893,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
MITT,6.045,-0.1438645980253878,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
CSAI,6.33,-0.13904494382022475,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
NIU,2.11,-0.13821138211382109,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
YXT,5.17,-0.13377926421404693,a3,peak_to_baseline_ratio=9.79>=2.5 (8/5 spike),,,9.79,,,,,,,
HCWC,0.2635,-0.12866666666666657,a3,peak_to_baseline_ratio=2.883>=2.5 (8/7 spike),,,2.883,,,,,,,
SLXN,1.6324,-0.12299465240641722,a6,split_ratio_proxy=52.62>15,,,,,,CC0,,52.62,,
CELZ,1.2401,-0.11971830985915488,a3,peak_to_baseline_ratio=2.262>=1.35 AND volume_spike_ratio=1513.6>=5.0 (8/6 spike),,,2.262,1513.6,,,,,,
IPW,3.23,-0.11849056603773585,a6,split_ratio_proxy=772.38>15,,,,,,CC0,,772.38,,
RCON,0.0313,-0.11830985915492946,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
PERI,8.6001,-0.11213047910295612,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
FGL,0.7614,-0.1111372733694373,a6,split_ratio_proxy=187.81>15,,,,,,CC0,,187.81,,
MGN,0.0944,-0.10480769230769224,a1,spread_pct=0.0879>0.08,,,,,,,,,,
TLS,4.28,-0.10460251046025104,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
BAOS,0.5607,-0.10317825886688169,a7,ask_gap_pct=0.0335>0.03 (gap-exceeded),,,,,,,,,0.0335,0.5607
KEEL,3.50,-0.10309278350515462,a4,"earnings reported today 2026-08-10, days_since_earnings=0",,,,,0,,,,,
VMAR,0.6002,-0.10263037859206327,a6,split_ratio_proxy=3444.59>15,,,,,,CC0,,3444.59,,
