symbol,reason,detail
ABTS,spread>8%,spread_pct=0.1413
HUHU,spread>8%,spread_pct=0.1587
NRXS,spread>8%,spread_pct=0.0873
FMFC,spread>8%,spread_pct=0.1047
PETZ,spread>8%,spread_pct=0.1701
HUDI,spread>8%,spread_pct=0.0908
YXT,prior-spike,peak_to_baseline_ratio=9.839 volume_spike_ratio=15711.452
STAK,prior-spike,peak_to_baseline_ratio=8.126 volume_spike_ratio=45.948
STKH,prior-spike,peak_to_baseline_ratio=4.732 volume_spike_ratio=40.339
WLDS,prior-spike,peak_to_baseline_ratio=4.514 volume_spike_ratio=597.175
PCLA,prior-spike,peak_to_baseline_ratio=4.033 volume_spike_ratio=93.979
JWEL,prior-spike,peak_to_baseline_ratio=2.638 volume_spike_ratio=356197.759
SGLY,prior-spike,peak_to_baseline_ratio=2.351 volume_spike_ratio=164.971
AREN,prior-spike,peak_to_baseline_ratio=2.269 volume_spike_ratio=20.176
CLRO,prior-spike,peak_to_baseline_ratio=2.08 volume_spike_ratio=744.414
GMEX,prior-spike,peak_to_baseline_ratio=1.472 volume_spike_ratio=144.579
LGHL,prior-spike,peak_to_baseline_ratio=1.464 volume_spike_ratio=213.148
YSXT,prior-spike,peak_to_baseline_ratio=1.361 volume_spike_ratio=19.445
GPRO,compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
GETY,compliance,financial_status_indicator=CA4 financial_status_description=Noncompliant
NCPL,compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
VEEA,compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
BYND,compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
KIDZ,reverse-split-proxy>15,split_ratio_proxy=4798
POM,reverse-split-proxy>15,split_ratio_proxy=118.5
DKI,reverse-split-proxy>15,split_ratio_proxy=49.75
SLXN,reverse-split-proxy>15,split_ratio_proxy=65.8
PRPL,earnings-recency<=3days,days_since_earnings=1
GCTS,earnings-recency<=3days,days_since_earnings=1
TME,earnings-recency<=3days,days_since_earnings=0
ELVA,earnings-recency<=3days,days_since_earnings=1
OPFI,earnings-recency<=3days,days_since_earnings=1
UPWK,earnings-recency<=3days,days_since_earnings=1
JRVR,earnings-recency<=3days,days_since_earnings=1
XTNT,earnings-recency<=3days,days_since_earnings=0
BODI,earnings-recency<=3days,days_since_earnings=1
GAIA,earnings-recency<=3days,days_since_earnings=1
SLSN,stale-quote,"no_recent_real_trades (all bars in 15min window interpolated, volume=0)"
QIS,stale-quote,"no_recent_real_trades (all bars in 15min window interpolated, volume=0)"
