symbol,last_price,pct_change,guardrail_failed,detail
ITP,0.1698,-0.11673,a1_spread,spread_pct=21.44%
IPDN,0.3499,-0.12481,a1_spread,spread_pct=17.81%
ATXG,4.22,-0.13347,a1_spread,spread_pct=15.17%
APVO,3.62,-0.15377,a1_spread,spread_pct=10.50%
CNSP,5.01,-0.11817,a1_spread,spread_pct=9.78%
ICCM,3.0534,-0.13009,a1_spread,spread_pct=8.95%
OMH,0.0935,-0.18341,a2_atr,atr14_pct=165.89%
AIFA,2.705,-0.16352,a3_prior_spike,ratio=1.677 vol_spike=791.7x
AIHS,1.53,-0.19837,a3_prior_spike,ratio=1.388 vol_spike=544.0x
AUUD,1.125,-0.10400,a3_prior_spike,ratio=1.351 vol_spike=402.5x
CIGL,0.4809,-0.17994,a3_prior_spike,ratio=2.404 vol_spike=515.0x
FRTT,1.09,-0.15504,a3_prior_spike,ratio=1.793 vol_spike=630.0x
GLE,0.376,-0.23732,a3_prior_spike,ratio=1.922 vol_spike=409.3x
GSUN,0.3963,-0.11230,a3_prior_spike,ratio=2.298 vol_spike=6.9x
JWEL,3.2601,-0.13555,a3_prior_spike,ratio=2.670 vol_spike=147661.7x
NCRA,2.29,-0.12245,a3_prior_spike,ratio=2.636 vol_spike=1080.4x
WAFU,1.45,-0.12312,a3_prior_spike,ratio=1.897 vol_spike=3936.7x
ZJYL,2.70,-0.11403,a3_prior_spike,ratio=1.638 vol_spike=381.9x
CAPS,0.2455,-0.22513,a5_compliance,financial_status_indicator=CC4 desc=Noncompliant
UZX,0.1258,-0.19867,a5_compliance,financial_status_indicator=CC4 desc=Noncompliant
LRHC,0.584,-0.15983,a5_compliance,financial_status_indicator=CC4 desc=Noncompliant
DAIC,0.6911,-0.15420,a5_compliance,financial_status_indicator=CC4 desc=Noncompliant
INTZ,0.6924,-0.15375,a5_compliance,financial_status_indicator=CC4 desc=Noncompliant
FAMI,0.1367,-0.18290,a6_reverse_split_proxy,split_ratio_proxy=15.06
HAO,0.1397,-0.15333,a6_reverse_split_proxy,split_ratio_proxy=2074.7
ZONE,0.142,-0.10013,a6_reverse_split_proxy,split_ratio_proxy=56.26
UAMY,5.2901,-0.19603,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-11)
MIST,1.0899,-0.14181,a4_earnings_recency,days_since_earnings=0 (reported 2026-08-12 am)
BORR,3.77,-0.11502,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-11, EPS miss -0.79 vs -0.12 est)
INUV,0.9133,-0.11330,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-11)
ROLR,5.75,-0.10296,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-11)
IZEA,3.21,-0.10084,a4_earnings_recency,days_since_earnings=1 (reported 2026-08-11)
SILO,2.93,-0.17697,a7_thin_liquidity,ask_gap_pct=4.91% (ask=2.99 last_real=2.85)
