symbol,last_price_at_scan,pct_change_at_scan,skip_step,skip_reason,metric_value
BSEM,2.94,-0.2263157894736842,a1_spread,spread_pct_exceeds_0.08,0.1224
TANH,0.32,-0.20199501246882795,a1_spread,spread_pct_exceeds_0.08,0.1206
ATRA,8.06,-0.12628726287262865,a1_spread,spread_pct_exceeds_0.08,0.1551
BRIA,1.22,-0.12223901000071945,a1_spread,spread_pct_exceeds_0.08,0.1557
JBDI,1.19,-0.11851851851851862,a1_spread,spread_pct_exceeds_0.08,0.1513
POM,0.8601,-0.11748409603940083,a1_spread,spread_pct_exceeds_0.08,0.2092
RETO,0.9859,-0.11180180180180188,a1_spread,spread_pct_exceeds_0.08,0.0897
SNYR,0.1197,-0.10604929051530987,a1_spread,spread_pct_exceeds_0.08,0.1721
VBIO,0.1785,-0.21017699115044253,a2_atr,atr3_pct_exceeds_0.80,2.173
WFF,1.415,-0.13190184049079748,a2_atr,atr3_pct_exceeds_0.80,0.9497
BAOS,0.62,-0.1842105263157895,a3_prior_spike,ratio_and_volspike_trip,ratio=1.451;volspike=320.45
BQ,1.05,-0.1463414634146341,a3_prior_spike,ratio_and_volspike_trip,ratio=2.433;volspike=1027.61
HCWC,0.249,-0.1455044612216884,a3_prior_spike,ratio_and_volspike_trip,ratio=2.857;volspike=4986.21
CORD,2.0004,-0.12263157894736837,a3_prior_spike,ratio_and_volspike_trip,ratio=1.522;volspike=13.24
DOGZ,1.13,-0.1171875000000001,a3_prior_spike,ratio_and_volspike_trip,ratio=1.407;volspike=1694.19
JWEL,2.7056,-0.1158169934640523,a3_prior_spike,ratio_and_volspike_trip,ratio=2.638;volspike=248784.04
CAPS,0.207,-0.11082474226804132,a3_prior_spike,ratio_and_volspike_trip,ratio=1.377;volspike=105.44
RMCF,1.365,-0.10197368421052633,a3_prior_spike,ratio_exceeds_2.5,ratio=2.266;volspike=5150.04
SECZ,6.355,-0.19147582697201015,a4_earnings,days_since_earnings_lte_3,1
ADCT,1.0199,-0.17081300813008127,a4_earnings,days_since_earnings_lte_3,0
STUB,7.32,-0.14285714285714274,a4_earnings,days_since_earnings_lte_3,1
CYN,1.0461,-0.13186721991701247,a4_earnings,days_since_earnings_lte_3,1
SCOR,6.27,-0.12674094707520894,a4_earnings,days_since_earnings_lte_3,1
CEPL,7.335,-0.11198547215496366,a4_earnings,days_since_earnings_lte_3,1
ABEO,6.6463,-0.10907506702412867,a4_earnings,days_since_earnings_lte_3,0
EU,1.235,-0.1050724637681158,a4_earnings,days_since_earnings_lte_3,0
DRMA,1.24,-0.10144927536231878,a4_earnings,days_since_earnings_lte_3,2
FEED,0.33,-0.1901840490797545,a5_compliance,financial_status_indicator_nonblank,CC4/Noncompliant
YOUL,0.39,-0.17808219178082185,a5_compliance,financial_status_indicator_nonblank,CC4/Noncompliant
PFSA,0.8481,-0.121139896373057,a5_compliance,financial_status_indicator_nonblank,CC4/Noncompliant
MODD,1.765,-0.1473429951690821,a6_reverse_split_proxy,split_ratio_proxy_exceeds_15,17.00
SMCZ,2.99,-0.10746268656716414,a6_reverse_split_proxy,split_ratio_proxy_exceeds_15,21.84
REBN,1.3201,-0.11402684563758385,a7_thin_liquidity,ask_gap_pct_exceeds_0.03,0.0378
