symbol,reason,spread_pct,financial_status_indicator,financial_status_description,split_ratio_proxy,prior_spike_ratio,volume_spike_ratio
FAMI,a1_spread,0.0972,,,,,
PETZ,a1_spread,0.0806,,,,,
ELWT,a1_spread,0.0836,,,,,
AIXI,a1_spread,0.1127,,,,,
MLEC,a1_spread,0.1249,,,,,
THCH,a1_spread,0.1867,,,,,
RITR,a5_compliance,,CC4,Noncompliant,,,
MYSZ,a5_compliance,,CC4,Noncompliant,,,
SCKT,a5_compliance,,CC4,Noncompliant,,,
NOMA,a6_reverse_split_proxy,,,,27.2,,
LGHL,a6_reverse_split_proxy,,,,528.9,,
INHD,a6_reverse_split_proxy,,,,1052.4,,
GNPX,a6_reverse_split_proxy,,,,288.1,,
ZTG,a3_prior_spike,,,,,4.406,21.64
CRWU,a3_prior_spike,,,,,2.764,2.3
FIEE,a3_prior_spike,,,,,3.48,2.45
AAOG,a3_prior_spike,,,,,2.889,2.81
XPON,a3_prior_spike,,,,,1.387,387.19
XHLD,a3_prior_spike,,,,,5.203,389.32
