symbol,bracket_last_price,bracket_pct_change,skip_reason,detail
MTNB,0.1923,-0.20207468879668047,spread_exceeded,spread_pct=0.0855
CNET,1.25,-0.14383561643835616,spread_exceeded,spread_pct=0.136
CLIR,3.8706,-0.12031818181818188,spread_exceeded,spread_pct=0.1266
MWG,1.3705,-0.10424836601307187,spread_exceeded,spread_pct=0.1605
ELOG,0.7284,-0.10295566502463055,spread_exceeded,spread_pct=0.2246
AIXI,0.6013,-0.1530985915492958,compliance_flag,financial_status_indicator=CC4;financial_status_description=Noncompliant
OSRH,0.3309,-0.11310640578933251,compliance_flag,financial_status_indicator=CC4;financial_status_description=Noncompliant
LGCL,0.1,-0.21996879875195008,reverse_split_proxy,split_ratio_proxy=226.15
FTFT,0.6849,-0.20784177654406671,reverse_split_proxy,split_ratio_proxy=87.29
LGHL,0.5801,-0.18295774647887328,reverse_split_proxy,split_ratio_proxy=555.05
BTOG,0.7398,-0.14146454682604157,reverse_split_proxy,split_ratio_proxy=45.36
ZNB,1.96,-0.1250000000000001,reverse_split_proxy,split_ratio_proxy=2134.6
AZI,1.49,-0.10240963855421684,reverse_split_proxy,split_ratio_proxy=79.73
RDAC,6.7,-0.23690205011389515,atr_guardrail,atr_3_pct=0.8529
COTY,2.695,-0.11056105610561055,earnings_recency,days_since_earnings=1
QTEX,0.9702,-0.13375000000000012,prior_spike,peak_to_baseline_ratio=1.5697;volume_spike_ratio=18.31
HVII,9.01,-0.14434947768281098,thin_liquidity_gap_exceeded,ask_gap_pct=0.0477;last_real_price=9.01
