symbol,last_price,pct_change,guardrail,reason,details
ADIL,5.13,-0.2148,a1_spread,spread_pct=0.0858 > 0.08,
KAPA,0.2298,-0.2076,a1_spread,spread_pct=0.1577 > 0.08,
NUR,2.1172,-0.1565,a1_spread,spread_pct=0.1228 > 0.08,
ITOC,0.2543,-0.1282,a1_spread,spread_pct=0.1416 > 0.08,
MGN,0.093,-0.1075,a1_spread,spread_pct=0.0823 > 0.08,
APUS,4.34,-0.1033,a1_spread,spread_pct=0.2231 > 0.08,
TMS,6.59,-0.1022,a1_spread,spread_pct=0.1062 > 0.08,
SUGP,1.4001,-0.1249,a2_atr,atr_3_pct=0.9583 > 0.80 (atr_14_pct=0.4818),
AMCI,5.05,-0.2231,a3_prior_spike,peak_to_baseline_ratio=1.41 AND volume_spike_ratio=5.29 (both thresholds tripped),
AXTL,2.62,-0.1951,a3_prior_spike,peak_to_baseline_ratio=4.01 >= 2.5 (hard skip),
AXTX,6.765,-0.1918,a3_prior_spike,peak_to_baseline_ratio=4.03 >= 2.5 (hard skip),
AIXC,0.9251,-0.174,a3_prior_spike,peak_to_baseline_ratio=4.10 >= 2.5 (hard skip),
MGRX,0.3641,-0.1372,a3_prior_spike,peak_to_baseline_ratio=2.27 AND volume_spike_ratio=1100.0 (both thresholds tripped),
EJH,1.11,-0.119,a3_prior_spike,peak_to_baseline_ratio=1.95 AND volume_spike_ratio=717.2 (both thresholds tripped),
AEHG,9.05,-0.1179,a3_prior_spike,peak_to_baseline_ratio=3.71 >= 2.5 (hard skip),
RDAC,5.93,-0.1162,a3_prior_spike,peak_to_baseline_ratio=3.57 >= 2.5 (hard skip),
SNSC,1.576,-0.1096,a3_prior_spike,peak_to_baseline_ratio=1.44 AND volume_spike_ratio=11.0 (both thresholds tripped),
SKK,4.8,-0.1061,a3_prior_spike,peak_to_baseline_ratio=1.86 AND volume_spike_ratio=1956.6 (both thresholds tripped),
ZKH,2.5316,-0.127,a4_earnings_recency,days_since_earnings=3 (report 2026-08-21) <= 3,
KNRX,0.392,-0.2462,a5_compliance,financial_status_indicator=CB0 present/non-empty,financial_status_description=
RGNX,8.5,-0.2071,a5_compliance,financial_status_indicator=CC0 present/non-empty,financial_status_description=
SMTK,3.73,-0.1542,a5_compliance,financial_status_indicator=CC4 present/non-empty,financial_status_description=Noncompliant
VHUB,0.7219,-0.115,a5_compliance,financial_status_indicator=CC0 present/non-empty,financial_status_description=
