symbol,last_price,pct_change,guardrail,detail
HUDI,0.8302,-0.12435397110009493,a1_spread,spread_pct=0.1083
ARBB,4.22,-0.1146915056538067,a1_spread,spread_pct=0.1777
BRIA,1.25,-0.10739788631819486,a1_spread,spread_pct=0.2428
LGCL,0.0421,-0.10425531914893621,a1_spread,spread_pct=0.0859
XPON,5.163,-0.167258064516129,a3_prior_spike,peak_to_baseline_ratio=2.764;volume_spike_ratio=3329.3
SUGP,1.1201,-0.16410447761194027,a3_prior_spike,peak_to_baseline_ratio=2.048;volume_spike_ratio=87.71
TRUG,0.568,-0.12588488765774097,a3_prior_spike,peak_to_baseline_ratio=2.128;volume_spike_ratio=15.3
CDTG,1.03,-0.11965811965811958,a3_prior_spike,peak_to_baseline_ratio=7.051;volume_spike_ratio=1.69
RDAC,5.32,-0.11333333333333329,a3_prior_spike,peak_to_baseline_ratio=3.625;volume_spike_ratio=53.05
PSIG,2,-0.1111111111111111,a3_prior_spike,peak_to_baseline_ratio=2.539;volume_spike_ratio=12.87
IPST,7.6597,-0.10726107226107227,a3_prior_spike,peak_to_baseline_ratio=11.432;volume_spike_ratio=4.19
FBDT,1.57,-0.23414634146341454,a5_compliance,financial_status_indicator=CC0;financial_status_description=
OLOX,1.58,-0.22926829268292673,a5_compliance,financial_status_indicator=CC0;financial_status_description=
RITR,0.09,-0.21739130434782614,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
SNYR,0.0854,-0.1827751196172248,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
CIIT,2.8562,-0.1524629080118695,a5_compliance,financial_status_indicator=CC0;financial_status_description=
LGHL,0.5336,-0.1516693163751988,a5_compliance,financial_status_indicator=CC0;financial_status_description=
AMOD,3.965,-0.1491416309012876,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
LGVN,0.7198,-0.14084507042253522,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
SMCZ,3.27,-0.11859838274932613,a5_compliance,financial_status_indicator=CC0;financial_status_description=;note=also_leveraged_etf_would_trip_a8
RMSG,0.32,-0.11357340720221602,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant
DXST,2.63,-0.10847457627118653,a5_compliance,financial_status_indicator=CC0;financial_status_description=
