symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
LGPS,1.16,-0.24013157894736842,a3_prior_spike,peak_to_baseline=1.75;volume_spike=1484.1,,2026-08-28T13:43:00Z,9:30
XAIR,4.43,-0.22126315789473694,a6_reverse_split_proxy,split_ratio_proxy=21.58,a6,2026-08-28T13:43:00Z,9:30
FGL,0.14,-0.2207865168539326,a6_reverse_split_proxy,split_ratio_proxy=1000.36,a6,2026-08-28T13:43:00Z,9:30
SMJF,1.14,-0.2108163265306123,a2_atr,atr_14_pct=1.053;atr_3_pct=3.240,,2026-08-28T13:43:00Z,9:30
PPCB,1.785,-0.20852017937219736,a3_prior_spike,peak_to_baseline=3.34;volume_spike=776.6,,2026-08-28T13:43:00Z,9:30
LGCL,0.0432,-0.18761726078799254,a2_atr,atr_14_pct=5.156;atr_3_pct=0.338,,2026-08-28T13:43:00Z,9:30
IRE,8.2901,-0.16004077471967382,a6_reverse_split_proxy,split_ratio_proxy=15.04,a6;a8,2026-08-28T13:43:00Z,9:30
IREG,6.77,-0.15924812030075192,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds,a8,2026-08-28T13:43:00Z,9:30
HCWC,0.2179,-0.15705996131528044,a3_prior_spike,peak_to_baseline=2.173;volume_spike=101.5,,2026-08-28T13:43:00Z,9:30
YAAS,2.11,-0.1516,a6_reverse_split_proxy,split_ratio_proxy=63.03,a6,2026-08-28T13:43:00Z,9:30
IMC,9.2075,-0.1490295748613679,a1_spread,spread_pct=0.0923,,2026-08-28T13:43:00Z,9:30
WETO,9.8,-0.13904347826086957,a2_atr,atr_14_pct=0.933;atr_3_pct=0.741,,2026-08-28T13:43:00Z,9:30
OPENZ,0.1369,-0.13653136531365315,a1_spread,spread_pct=0.1607,,2026-08-28T13:43:00Z,9:30
RPGL,1.75,-0.1316915422885571,a3_prior_spike,peak_to_baseline=1.505;volume_spike=9.3,,2026-08-28T13:43:00Z,9:30
FBDT,0.84,-0.12371134020618557,a2_atr,atr_14_pct=1.038;atr_3_pct=0.583,,2026-08-28T13:43:00Z,9:30
DAIC,5.0521,-0.11671874999999998,a3_prior_spike,peak_to_baseline=8.547;volume_spike=2.9,,2026-08-28T13:43:00Z,9:30
WNW,2.935,-0.11145015105740182,a3_prior_spike,peak_to_baseline=1.382;volume_spike=17.4,,2026-08-28T13:43:00Z,9:30
FEED,0.3363,-0.10655069312313131,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-08-28T13:43:00Z,9:30
BRNX,3.3895,-0.1062176165803108,a2_atr,atr_14_pct=0.387;atr_3_pct=1.034,,2026-08-28T13:43:00Z,9:30
SUGP,0.7903,-0.10284881112606539,a3_prior_spike,peak_to_baseline=2.09;volume_spike=13.7,,2026-08-28T13:43:00Z,9:30
RITR,0.087,-0.10206185567010315,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-08-28T13:43:00Z,9:30
TRUG,0.5251,-0.10091590341382178,a1_spread,spread_pct=0.0952,,2026-08-28T13:43:00Z,9:30
