symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
SMJF,1.1302,-0.2244897959183674,a2_atr_guardrail,atr14_pct=1.0237;atr3_pct=3.3163,,2026-08-28T14:40:00Z,10:30
PPCB,1.7300,-0.22417040358744394,a3_prior_spike,ratio=3.340;vol_spike=193.10,,2026-08-28T14:40:00Z,10:30
XAIR,4.5900,-0.2043859649122807,a6_reverse_split_proxy,split_ratio_proxy=20.83,a6,2026-08-28T14:40:00Z,10:30
FBDT,0.7811,-0.19474226804123707,a2_atr_guardrail,atr14_pct=0.9091;atr3_pct=1.2307,,2026-08-28T14:40:00Z,10:30
RPGL,1.6200,-0.19402985074626852,a3_prior_spike,ratio=1.505;vol_spike=130.46,,2026-08-28T14:40:00Z,10:30
YAAS,2.1000,-0.192,a6_reverse_split_proxy,split_ratio_proxy=63.33,a6,2026-08-28T14:40:00Z,10:30
TAOP,0.9291,-0.18776785714285726,a3_prior_spike,ratio=1.551;vol_spike=22.24,,2026-08-28T14:40:00Z,10:30
FGL,0.1506,-0.18595505617977523,a1_spread_guardrail,spread_pct=9.56,,2026-08-28T14:40:00Z,10:30
TNMG,0.4345,-0.1820892651019624,a3_prior_spike,ratio=1.503;vol_spike=217.24,,2026-08-28T14:40:00Z,10:30
MIMI,1.0595,-0.17844961240310073,a3_prior_spike,ratio=1.642;vol_spike=261.76,,2026-08-28T14:40:00Z,10:30
PFSA,3.4800,-0.1745283018867925,a2_atr_guardrail,atr14_pct=0.8906;atr3_pct=0.6200,,2026-08-28T14:40:00Z,10:30
YDES,3.1100,-0.17312661498708007,a1_spread_guardrail,spread_pct=19.94,,2026-08-28T14:40:00Z,10:30
JZ,1.2900,-0.1704180064308681,a3_prior_spike,ratio=2.123;vol_spike=210.99,,2026-08-28T14:40:00Z,10:30
FINV,3.4092,-0.1554726368159203,a4_earnings_recency,days_since_earnings=1;report_date=2026-08-27,,2026-08-28T14:40:00Z,10:30
OMH,0.0643,-0.152832674571805,a2_atr_guardrail,atr14_pct=1.1665;atr3_pct=0.6400,,2026-08-28T14:40:00Z,10:30
DDC,0.4701,-0.15092250922509232,a1_spread_guardrail,spread_pct=12.25,,2026-08-28T14:40:00Z,10:30
CISS,1.8350,-0.14553990610328632,a2_atr_guardrail,atr14_pct=1.3401;atr3_pct=0.3341,,2026-08-28T14:40:00Z,10:30
DAIC,4.9360,-0.14062499999999994,a3_prior_spike,ratio=8.547;vol_spike=2634.51,,2026-08-28T14:40:00Z,10:30
HCWC,0.2231,-0.13965183752417804,a7_thin_liquidity,ask_gap_pct=4.56;last_real_price=0.2238;skip_type=gap_exceeded,,2026-08-28T14:40:00Z,10:30
KALA,0.7279,-0.13803718753848057,a6_reverse_split_proxy,split_ratio_proxy=1415.02,a6,2026-08-28T14:40:00Z,10:30
NIVF,0.4031,-0.12695020303483653,a6_reverse_split_proxy,split_ratio_proxy=1272.51,a6,2026-08-28T14:40:00Z,10:30
TRUG,0.5251,-0.12148209825145723,a3_prior_spike,ratio=2.058;vol_spike=1365.37,,2026-08-28T14:40:00Z,10:30
DBGI,6.4200,-0.12049861495844877,a6_reverse_split_proxy,split_ratio_proxy=112.15,a6,2026-08-28T14:40:00Z,10:30
WCT,0.6501,-0.11922563417890526,a1_spread_guardrail,spread_pct=8.24,,2026-08-28T14:40:00Z,10:30
YYGH,1.6607,-0.11523560209424082,a3_prior_spike,ratio=1.853;vol_spike=199.02,,2026-08-28T14:40:00Z,10:30
WNW,2.9501,-0.11480362537764346,a3_prior_spike,ratio=1.382;vol_spike=167.07,,2026-08-28T14:40:00Z,10:30
OLOX,1.1736,-0.1044776119402986,a3_prior_spike,ratio=1.521;vol_spike=144.78,,2026-08-28T14:40:00Z,10:30
ANTA,3.5401,-0.10377215189873426,a1_spread_guardrail,spread_pct=11.30,,2026-08-28T14:40:00Z,10:30
SUGP,0.8014,-0.10116644235082992,a3_prior_spike,ratio=2.090;vol_spike=26.83,,2026-08-28T14:40:00Z,10:30
