symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
VRME,1.035,-0.20297101449275348,a3_prior_spike,peak_to_baseline_ratio=3.053;threshold=2.5,,2026-09-22T13:42:38Z,9:30
CELZ,0.83,-0.18905472636815918,a7_thin_liquidity,ask_gap_pct=0.0796;last_real_price=0.805;reason=gap_exceeded,,2026-09-22T13:44:51Z,9:30
SLXN,0.4643,-0.1600808674875942,a3_prior_spike,peak_to_baseline_ratio=1.715;volume_spike_ratio=864.5,,2026-09-22T13:42:38Z,9:30
LOBO,0.5896,-0.14857142857142855,a3_prior_spike,peak_to_baseline_ratio=2.170;volume_spike_ratio=3076,,2026-09-22T13:42:35Z,9:30
TULP,3.07,-0.14529914529914525,a4_earnings_recency,days_since_earnings=1;report_date=2026-09-21,,2026-09-22T13:42:57Z,9:30
ETS,1.75,-0.1402336448598131,a1_spread,spread_pct=0.0857,,2026-09-22T13:42:22Z,9:30
SOS,0.6499,-0.134340015620932,a1_spread,spread_pct=0.1862,,2026-09-22T13:42:33Z,9:30
RIME,0.1861,-0.13124708080336298,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-22T13:46:00Z,9:30
RUBI,1.099,-0.12799999999999995,a6_reverse_split_proxy,split_ratio_proxy=135737.0;high_52_weeks=149175.0,a6,2026-09-22T13:46:00Z,9:30
EDBL,1.185,-0.12222222222222225,a6_reverse_split_proxy,split_ratio_proxy=23.46;high_52_weeks=27.799,a6,2026-09-22T13:46:00Z,9:30
PAAI,1.139,-0.11290322580645154,a2_atr,atr_3_pct=0.8473;atr_14_pct=0.3867,,2026-09-22T13:42:35Z,9:30
FLX,0.70,-0.1085699924604171,a1_spread,spread_pct=0.0851,,2026-09-22T13:39:27Z,9:30
ELOG,0.46,-0.10592808551992214,a1_spread,spread_pct=0.1828,,2026-09-22T13:39:05Z,9:30
IRAB,10.00,-0.10399999999999991,a7_thin_liquidity,no_recent_real_trades;last_real_trade_time=2026-09-21T18:33:49Z,,2026-09-22T13:44:51Z,9:30
FRGT,0.45,-0.10071942446043156,a6_reverse_split_proxy,split_ratio_proxy=113.9;high_52_weeks=51.25,a6,2026-09-22T13:46:00Z,9:30
