evaluated_at_scan,symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
2026-09-24T13:41Z,WZRD,4.2,-0.23774954627949177,a1_spread_pct,spread_pct=0.1162,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,MAMO,0.78,-0.175475687103594,a1_spread_pct,spread_pct=0.0874,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,GURE,3.05,-0.15277777777777785,a1_spread_pct,spread_pct=0.1354,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,YOUL,0.418,-0.11440677966101694,a1_spread_pct,spread_pct=0.0883,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,VRAX,2.2768,-0.10713725490196066,a1_spread_pct,spread_pct=0.1318,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,GELS,0.5401,-0.10118156099184551,a1_spread_pct,spread_pct=0.0872,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,DCX,0.0567,-0.23024523160762947,a2_atr_guardrail,atr14_pct=2.1259;atr3_pct=1.6055,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,CTNT,0.0318,-0.1718749999999999,a2_atr_guardrail,atr14_pct=3.9098;atr3_pct=1.3435,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,RKDA,0.3397,-0.20258215962441312,a3_prior_spike,peak_to_baseline_ratio=1.374;volume_spike_ratio=417.8,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,TWG,0.217,-0.1951038575667656,a3_prior_spike,peak_to_baseline_ratio=1.354;volume_spike_ratio=15.59,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,JAGX,7.25,-0.186307519640853,a3_prior_spike,peak_to_baseline_ratio=3.8546,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,HCTI,0.7574,-0.16869717923389316,a3_prior_spike,peak_to_baseline_ratio=3.799,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,SLXN,0.2644,-0.1614335553441167,a3_prior_spike,peak_to_baseline_ratio=1.7626;volume_spike_ratio=720.9,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,AVAT,1.875,-0.1515837104072398,a3_prior_spike,peak_to_baseline_ratio=3.568,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,ONCO,0.7801,-0.14274725274725275,a3_prior_spike,peak_to_baseline_ratio=1.6698;volume_spike_ratio=186.28,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,BFRG,0.8156,-0.14147368421052628,a3_prior_spike,peak_to_baseline_ratio=2.147;volume_spike_ratio=1218.0,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,MSS,1.81,-0.1380952380952381,a3_prior_spike,peak_to_baseline_ratio=2.0205;volume_spike_ratio=505.1,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,SFIX,2.195,-0.22163120567375888,a4_earnings_recency,days_since_earnings=1,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,NEOV,2.688,-0.1520504731861198,a4_earnings_recency,days_since_earnings=1,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,SMX,7.805,-0.19035269709543576,a6_reverse_split_proxy,split_ratio_proxy=13650,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,ADGM,0.1856,-0.18596491228070183,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,CAPS,0.1707,-0.1624141315014721,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,AUUD,1.11,-0.1526717557251908,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant;split_ratio_proxy=16.78,a5;a6,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,FRGT,0.43,-0.12244897959183673,a6_reverse_split_proxy,split_ratio_proxy=117.8,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,GMEX,0.38,-0.11111111111111108,a6_reverse_split_proxy,split_ratio_proxy=9868,,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,XNDX,1.741,-0.109462915601023,a6_reverse_split_proxy,split_ratio_proxy=23.34;industry=Investment Trusts Or Mutual Funds,a6;a8,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,ZBAO,0.0868,-0.10515463917525773,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant;split_ratio_proxy=15.55,a5;a6,2026-09-24T13:46Z,9:30
2026-09-24T13:41Z,RMSG,0.2839,-0.10441640378548901,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-24T13:46Z,9:30
