symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
TWG,0.1569,-0.24780487804878043,a6_reverse_split_proxy,split_ratio_proxy=167.98,a6,2026-09-25T14:45:00Z,10:30
ONEN,2.615,-0.24351585014409227,a2_atr_guardrail,atr_14_pct=0.5977;atr_3_pct=1.0114,,2026-09-25T14:45:00Z,10:30
VRME,0.900,-0.2398290598290598,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
NXGL,0.1999,-0.23664122137404578,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
STAK,1.14,-0.21527777777777782,a3_prior_spike_guardrail,peak_to_baseline_ratio=1.4262;volume_spike_ratio=161.0,,2026-09-25T14:45:00Z,10:30
DCX,0.0481,-0.2139303482587065,a6_reverse_split_proxy,split_ratio_proxy=12673.6,a6,2026-09-25T14:45:00Z,10:30
LGO,0.559,-0.21302460202604923,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
GIPR,0.4264,-0.20119447555057868,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-25T14:45:00Z,10:30
GCTK,2.0876,-0.182170542635659,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-25T14:45:00Z,10:30
CRMT,1.125,-0.16176470588235306,a6_reverse_split_proxy,split_ratio_proxy=28.12,a6,2026-09-25T14:45:00Z,10:30
TRT,6.19,-0.15151515151515146,a4_earnings_recency,days_since_earnings=1;last_report_date=2026-09-24,,2026-09-25T14:45:00Z,10:30
PARA,0.7153,-0.14503723599072155,a6_reverse_split_proxy,split_ratio_proxy=111.3,a6,2026-09-25T14:45:00Z,10:30
HUBC,2.0065,-0.1394849785407726,a6_reverse_split_proxy,split_ratio_proxy=406772,a6,2026-09-25T14:45:00Z,10:30
SAFX,0.3611,-0.12875121006776385,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
GMEU,8.215,-0.12817796610169482,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure;daily price movement of,a8,2026-09-25T14:45:00Z,10:30
SCNI,1.6301,-0.1236021505376344,a7_thin_liquidity_stale_quote,ask_gap_pct=0.0429;last_real_price=1.6301;reason=gap_exceeded,,2026-09-25T14:45:00Z,10:30
TGHL,0.7298,-0.120722891566265,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
VBIO,3.025,-0.11781609195402303,a6_reverse_split_proxy,split_ratio_proxy=26.03,a6,2026-09-25T14:45:00Z,10:30
BEZ,5.245,-0.11355932203389829,a6_reverse_split_proxy,split_ratio_proxy=58.47,a6;a8,2026-09-25T14:45:00Z,10:30
CMCT,1.905,-0.10981308411214957,a6_reverse_split_proxy,split_ratio_proxy=756.4,a6,2026-09-25T14:45:00Z,10:30
RKDA,0.3074,-0.10917721518987351,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-25T14:45:00Z,10:30
IREG,8.62,-0.10723469030917658,a8_leveraged_inverse_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x leveraged exposure;daily price movement of,a8,2026-09-25T14:45:00Z,10:30
MEDS,3.17,-0.1061142857142857,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-25T14:45:00Z,10:30
ATYR,0.3087,-0.1054502369668247,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
DBGI,4.649,-0.10526315789473685,a6_reverse_split_proxy,split_ratio_proxy=154.9,a6,2026-09-25T14:45:00Z,10:30
LGCY,9.505,-0.10338345864661667,a4_earnings_recency,days_since_earnings=1;last_report_date=2026-09-24,,2026-09-25T14:45:00Z,10:30
WETO,1.725,-0.10263157894736834,a6_reverse_split_proxy,split_ratio_proxy=145.5,a6,2026-09-25T14:45:00Z,10:30
AUC,7.99,-0.10224719101123597,a1_spread_guardrail,spread_pct=0.194,,2026-09-25T14:45:00Z,10:30
CBAT,1.23,-0.1021897810218979,a5_compliance_guardrail,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,2026-09-25T14:45:00Z,10:30
EZGO,0.98,-0.10091743119266064,a6_reverse_split_proxy,split_ratio_proxy=1121.1,a6,2026-09-25T14:45:00Z,10:30
BBBYW,0.5309,-0.10016949152542362,a7_thin_liquidity_stale_quote,ask_gap_pct=0.049;last_real_price=0.5309;reason=gap_exceeded,,2026-09-25T14:45:00Z,10:30
ATGL,6.20,-0.17227629513343803,a1_spread_guardrail,spread_pct=0.1081,,2026-09-25T14:45:00Z,10:30
FOFO,2.07,-0.13991769547325114,a1_spread_guardrail,spread_pct=0.1304,,2026-09-25T14:45:00Z,10:30
YOUL,0.435,-0.12650602409638553,a1_spread_guardrail,spread_pct=0.1193,,2026-09-25T14:45:00Z,10:30
VWAV,5.1599,-0.11053540587219338,a6_reverse_split_proxy,split_ratio_proxy=61.24,a6,2026-09-25T14:45:00Z,10:30
