symbol,quantity,avg_fill_price,total_cost,limit_sell_price,buy_order_id,sell_order_id
BANL,370,0.3000,111.0000,0.31,6a58debb-2d76-4011-9c75-cd17bfce9de6,6a58dec5-317f-4216-9518-3037b1380171
ARI,15,6.9088,103.6320,7.05,6a58ded1-3b57-40e2-bb52-b81510c7009f,6a58deda-5f50-4450-9ec8-b9ae0d7152e3
SOBR,87,1.1999,104.3913,1.23,6a58dee8-1084-491f-93e9-d634221498ea,6a58def1-7466-4da1-8f7b-c0548c2a1719
CIIT,387,0.2704,104.6448,0.28,6a58defd-cca6-4885-a74b-f7aeb4bd4e91,6a58df06-d017-4f7b-99b6-3a0e8f3723c4
CNEY,154,0.6899,106.2446,0.71,6a58df17-8e9f-4931-9c0a-7be536634fcb,6a58df21-d5c1-40a1-ad33-3d314cbb0584
ALP,428,0.2518,107.7704,0.26,6a58df2f-a29f-4301-a606-82062b251362,6a58df37-09a0-4432-a93f-a3484edc49b0
VIVS,156,0.6714,104.7384,0.69,6a58df45-36df-4938-bc23-dfa6fc3b90ce,6a58df4f-a6ff-4bb9-94b0-db97a2b954e3
MWC,3,1.9699,5.9097,2.01,6a58df5e-d500-418a-a750-ce96905690df,6a58df68-0896-4b13-bedf-6e1091d9884a
ILLR,1,1.0899,1.0899,1.12,6a58dfbd-37bc-4320-ab37-5b2c6c9c20fe,6a58dfc9-6670-4c84-bb80-a1a04d638835
CDT,1,0.3149,0.3149,0.33,6a58dffb-65f3-4da7-9032-17fc42105c98,6a58e005-dabc-4aca-9481-b951e3bee9ec
ZBAO,1,0.2497,0.2497,0.26,6a58e012-cba3-418e-8d55-e75050e127f0,6a58e01d-2749-476f-a398-fa4efee77610
