symbol,quantity,avg_fill_price,total_cost,limit_sell_price,buy_order_id,sell_order_id,atr_14_pct,atr_3_pct,spread_pct,baseline_price,peak_price,peak_to_baseline_ratio,baseline_volume,peak_volume,volume_spike_ratio,pct_off_baseline_at_buy,days_since_earnings,spy_pct_change,per_position_cap
GVH,23,2.1579,49.6317,2.27,6a5e259d-4787-48fb-99c7-0deb6997e2d1,6a5e25a9-3e04-4840-8f5d-601f0fdb6f85,0.2801,0.1983,0.0140,3.8800,4.8200,1.2423,54356.5,2152198,39.5871,-0.4390,,0.0068,50
IREZ,5,8.7499,43.7495,9.19,6a5e25b7-761a-4b2e-834b-0d2bd6a8deea,6a5e25c2-70aa-4f62-817b-3ed34bce8829,0.1662,0.1919,0.0022,8.4633,13.4800,1.5929,4384306,9793446,2.2336,0.0540,,0.0068,50
MSS,114,0.4647,52.9758,0.49,6a5e25ce-b629-45a4-8b0c-44c8d4560690,6a5e25dd-09b4-4dac-9b55-54f86d73041a,0.1963,0.0802,0.0339,0.6266,0.8387,1.3384,279502.5,47036983,168.2895,-0.2850,125,0.0068,50
BIVI,34,1.4299,48.6166,1.51,6a5e25e9-5264-4014-b034-0820d3e2653c,6a5e25f4-c18d-4ada-94d5-6446d4ac8585,0.1565,0.1477,0.0580,2.1467,2.3100,1.0761,167541,688935,4.1106,-0.3572,70,0.0068,50
APLZ,1,29.5599,29.5599,31.04,6a5e2601-927e-4606-9ed2-6b3caaf44d17,6a5e260f-e8b0-466a-a8f9-c321fd6acbb1,0.1307,0.1790,0.0069,25.2467,40.7229,1.6130,127003.5,200105,1.5760,0.1512,,0.0068,50
NBIZ,4,11.0899,44.3596,11.65,6a5e2619-a327-44b8-8121-a5a378c07eda,6a5e2626-76e6-4ed0-9f42-10045d4cfe7f,0.2176,0.2658,0.0085,10.6033,15.1090,1.4249,3004801.5,5386347,1.7927,0.0006,,0.0068,50
GLXG,57,0.9199,52.4343,0.97,6a5e2631-3d1c-4af1-9bcf-28caea04489d,6a5e263d-8d69-4537-bfbe-b4a37acaf0f3,0.3193,0.3511,0.0730,1.3267,1.6000,1.2060,48596,10179074,209.4436,-0.3367,55,0.0068,50
QMLS,4,11.9999,47.9996,12.60,6a5e2648-154c-4935-b6b3-2710bd55aa48,6a5e2655-bac6-41d6-bc19-fc1dfee7be4b,0.1873,0.6996,0.0267,,,,,,,,,0.0068,50
CORD,6,7.6299,45.7794,8.02,6a5e26ba-f79d-49de-a1a3-3d1962bd1799,6a5e26c6-9d67-49f7-b4b1-98fce78a1f7f,0.1308,0.1563,0.0026,6.7100,10.1500,1.5127,2917909.5,3656311,1.2530,0.1311,,0.0068,50
LITZ,3,16.1316,48.3948,16.94,6a5e26d9-71f8-488d-a70a-938ab588d92f,6a5e26e5-81af-4c7c-a91a-9f289521dc3d,0.1958,0.2407,0.0129,22.1033,23.9000,1.0813,607962,980624,1.6126,-0.2628,,0.0068,50
TEMT,1,16.9518,16.9518,17.80,6a5e2746-eef8-4ff6-af92-4a15d2125107,6a5e2765-45ed-4e36-96cb-f2374f2f0ed3,0.1893,0.1764,0.0098,25.5967,28.4500,1.1115,145907,192597,1.3200,-0.3594,,0.0068,50
AMPG,2,5.7099,11.4198,6.00,6a5e2782-85e1-49e4-bee1-a205b27d4d90,6a5e278f-551d-47df-b58a-dea51050125d,0.1615,0.1429,0.0105,6.2500,7.6480,1.2237,2446451.5,11107902,4.5406,-0.0790,68,0.0068,50
