symbol,side,quantity,fill_price,order_id,sell_order_id,limit_sell_price,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,last_price,pct_change,per_position_cap,timestamp
ZVRA,buy,1,9.5999,6a636cd1-93bc-4a40-8b36-e1f79050ca8b,6a636e10-8f7b-4e64-b9bc-d012cd3951f9,10.08,0.0011,0.0728,0.0699,1.165,,N/A,CC0,9.535,-0.2384,10,2026-07-24T13:47:00Z
CDXS,buy,6,1.5094,6a636cd2-eb0f-4807-865d-f0a89f1db83c,6a636e11-e28d-45e0-b7b9-0f312b2fabfe,1.59,0.0066,0.1033,0.0865,1.152,,N/A,CC0,1.541,-0.2256,10,2026-07-24T13:47:00Z
EHGO,buy,4,2.1938,6a636cd4-2432-4b36-a59e-03759015a1cb,6a636e1a-fe82-41e5-8b8a-3e5472110187,2.31,0.0405,0.3694,0.531,1.72,1.63,N/A,CC0,2.17,-0.1993,10,2026-07-24T13:47:00Z
ATER,buy,20,0.48,6a636cd5-ce50-4940-8f06-2a53a95b7037,6a636e1c-35f8-400d-9678-f7bce39131f6,0.51,0.0608,0.2632,0.3957,1.1,,N/A,CC0,0.48,-0.1273,10,2026-07-24T13:47:00Z
CBRG,buy,2,4.5572,6a636cd6-ddc0-42ce-a5c4-3f081ff5a999,6a636e22-1ea0-41cb-b86f-cf486242da4f,4.79,0.0044,0.2584,0.2984,1.083,,N/A,CB0,4.64,-0.1162,10,2026-07-24T13:47:00Z
IRAB,buy,1,9.98,6a636cd7-0ba6-4f1e-9ec3-fc25eca54a26,6a636e23-691d-4352-bb9d-98e85c6132df,10.48,0.0352,0.0012,0.0002,1.013,,N/A,CA0,8.96,-0.0995,10,2026-07-24T13:47:00Z
CRWU,buy,2,3.37,6a636cd8-82f9-4507-a61a-7e4583350c2c,6a636e2a-42f4-4b74-a2a5-300b42674063,3.54,0.003,0.2256,0.1503,1.274,,N/A,CB0,3.43,-0.0926,10,2026-07-24T13:47:00Z
SKHL,buy,1,9.6099,6a636cd9-62c9-4e28-a8e7-8bc8b327d1de,6a636e2b-319e-4b97-be0a-0be9be482c78,10.1,0.003,0.0899,0.175,1.072,,N/A,CB0,9.82,-0.0907,10,2026-07-24T13:47:00Z
AEHG,buy,1,8.4861,6a636cde-3374-4748-b9ba-8b39a0428105,6a636e30-fe98-493c-b56a-11da06993d01,8.92,0.0216,0.2182,0.3006,1.121,,N/A,CB0,8.87,-0.0903,10,2026-07-24T13:47:00Z
AXTU,buy,3,3.0788,6a636cdf-77e8-4c9a-b6ed-e7784eb69c36,6a636e31-97fa-4d92-80f1-0664efca0648,3.24,0.0093,0.5987,0.2473,1.426,4.9,N/A,CB0,3.23,-0.0901,10,2026-07-24T13:47:00Z
AXTX,buy,1,5.7762,6a636cef-b0ba-421d-b81a-265126a68c6a,6a636e37-d7e1-4c1a-a9f6-5a58b28c26b3,6.07,0.0152,0.6169,0.2649,1.44,,N/A,CB0,6,-0.0868,10,2026-07-24T13:47:00Z
TOPP,buy,16,0.61,6a636cf0-1191-4343-af94-f79a576b4c9c,6a636e39-e5af-4c48-968f-7fcddb6364c7,0.65,0.0687,0.2442,0.1235,1.129,,N/A,CB0,0.61,-0.0855,10,2026-07-24T13:47:00Z
AAOG,buy,3,3.05,6a636cf1-c38f-4b4c-a901-bc34c190d399,6a636e3f-b26c-4392-ae1e-fc0b86590eab,3.21,0.0092,0.4379,0.2199,1.307,,N/A,CB0,3.3,-0.0756,10,2026-07-24T13:47:00Z
COHH,buy,1,7.4572,6a636cf2-251a-45ca-b49b-7aa38d24b95b,6a636e40-4bf6-43cf-8bdc-38580dc0e02c,7.84,0.009,0.2323,0.1426,1.212,,N/A,CB0,7.79,-0.0737,10,2026-07-24T13:47:00Z
KSCP,buy,6,1.5699,6a636cf3-24fb-4498-bb5d-6fbcb300f8c9,6a636e47-0a33-4c14-b318-db68e22f52a0,1.65,0.0125,0.1362,0.2396,1.18,24.9,N/A,CC0,1.58,-0.0706,10,2026-07-24T13:47:00Z
ODYS,buy,2,4.8499,6a636cf5-e0ba-4870-b955-b6a6b6f18aec,6a636e48-855f-42cc-9733-c581da523190,5.1,0.0651,0.0551,0.051,1.257,,N/A,CC0,4.3501,-0.0665,10,2026-07-24T13:47:00Z
EXYN,buy,3,2.9749,6a636cf6-803e-46a4-bd0a-e6c5da142ba8,6a636e52-a783-482e-a9e6-dedfadae6240,3.13,0.0722,0.225,0.1667,1.137,,N/A,CC0,2.87,-0.0651,10,2026-07-24T13:47:00Z
BAOS,buy,6,1.6399,6a636cf7-d93e-4398-81cd-6d5de88d36da,6a636e53-79d6-42d6-a0d3-cf47433bc39d,1.73,0.0625,0.1721,0.1823,1.023,,N/A,CC0,1.6,-0.0643,10,2026-07-24T13:47:00Z
AMPG,buy,1,5.7599,6a636cf8-111c-4a63-89ab-4897e9d782e5,6a636e59-0aa2-49e6-a02d-3c4727c2af47,6.05,0.0118,0.1583,0.1343,1.163,,N/A,CC0,5.94,-0.0631,10,2026-07-24T13:47:00Z
XHG,buy,9,1.04,6a636cf9-7bd7-4c44-bf60-c56cfe814a5f,6a636e5a-4a68-42a4-bfc3-8120826d8d7c,1.1,0.0662,0.0587,0.0875,1.158,,N/A,CC0,1.04,-0.0631,10,2026-07-24T13:47:00Z
GLXU,buy,1,6.57,6a636cfa-3488-4e40-94c9-14475bc7c879,6a636e60-19a6-422e-9272-cf5965f4fce2,6.9,0.0171,0.2203,0.1609,1.347,,N/A,CB0,6.34,-0.0621,10,2026-07-24T13:47:00Z
IREG,buy,1,8.605,6a636cfc-93cf-4163-afdb-aac0ab0e66ea,6a636e61-8983-4661-92d3-47c70e4d8bae,9.04,0.0035,0.2726,0.1785,1.2905,,N/A,CC0,8.78,-0.062,10,2026-07-24T13:47:00Z
TAOX,buy,2,3.4299,6a636d26-59ac-42ae-abfc-bc69b56bd283,6a636e67-61b1-4968-8201-0f7895e2dced,3.61,0.0203,0.0976,0.0956,1.19,,N/A,CC0,3.455,-0.0586,10,2026-07-24T13:47:00Z
AMIX,buy,3,3.0808,6a636d28-cb10-40c3-8104-f16265138b91,6a636e6d-1437-4520-b3de-12f5a60ec448,3.24,0.0188,0.1674,0.15,1.067,,N/A,CC0,3.3,-0.0571,10,2026-07-24T13:47:00Z
MODD,buy,3,2.9499,6a636d2f-3757-4dbf-93df-6d834c994b6d,6a636e73-2f8f-4b8e-bf9e-a0b56b567d71,3.1,0.0482,0.196,0.1357,1.4035,1.69,N/A,CC0,2.8673,-0.0568,10,2026-07-24T13:47:00Z
SNDC,buy,1,8.9774,6a636d30-f852-44e8-83e5-45b7eeed5b7a,6a636e75-3d81-4d49-88cd-3363c76f20b8,9.43,0.0098,0.2163,0.2032,1.058,,N/A,CB0,9.48,-0.0567,10,2026-07-24T13:47:00Z
COIA,buy,1,7.1949,6a636d49-d27b-40de-b100-dc18db1a0ef3,6a636e7b-25b5-4a38-ae23-471451945682,7.56,0.0042,0.127,0.1316,1.245,,N/A,CB0,7.17,-0.0553,10,2026-07-24T13:47:00Z
