symbol,quantity,avg_fill_price,dollar_spent,limit_sell_price,buy_order_id,sell_order_id,pct_change_at_bracket,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
IOTR,3,1.5499,4.6497,1.63,6aa959c0-f7a8-4f9f-ac1e-3c5e4942eaa0,6aa959c7-c30a-4c5b-ab15-7334d697f172,-0.2327,spread_pct=0.0065;atr14_pct=0.1514;atr3_pct=0.1416;peak_to_baseline_ratio=1.0723;days_since_earnings=none;financial_status=CC0/;split_ratio_proxy=4.8194;ask_gap_pct=0.000,,2026-09-15T14:39:00Z-14:46:00Z,10:30
CRBP,1,6.4584,6.4584,6.79,6aa959ce-dfb2-48f6-af6a-b3cd424b0b90,6aa959d5-dd35-46f0-9f17-387e5c802a2e,-0.1819,spread_pct=0.0015;atr14_pct=0.1071;atr3_pct=0.1341;peak_to_baseline_ratio=1.1259;days_since_earnings=40;financial_status=CC0/;split_ratio_proxy=3.1607;ask_gap_pct=-0.0031,,2026-09-15T14:39:00Z-14:46:00Z,10:30
BIVI,2,1.6799,3.3598,1.77,6aa959db-bb1d-4ba5-91f6-89c2f2c12f21,6aa959e1-a2bf-4413-a1c7-12c32206102f,-0.1805,spread_pct=0.0119;atr14_pct=0.1710;atr3_pct=0.1066;peak_to_baseline_ratio=1.2555;days_since_earnings=33;financial_status=CC0/;split_ratio_proxy=2.2560;ask_gap_pct=0.0060,,2026-09-15T14:39:00Z-14:46:00Z,10:30
YMAT,3,1.7299,5.1897,1.82,6aa959e7-b56c-4e60-af6c-a1e8985f658b,6aa959ed-0840-4951-a38b-bd6907e8f540,-0.1708,spread_pct=0.0482;atr14_pct=0.1761;atr3_pct=0.2182;peak_to_baseline_ratio=1.2717;days_since_earnings=none;financial_status=CC0/;split_ratio_proxy=7.8313;ask_gap_pct=0.0241,,2026-09-15T14:39:00Z-14:46:00Z,10:30
CYPH,2,2.1585,4.317,2.27,6aa959f4-662b-4f1d-a84b-7d12bdd01b5b,6aa959fa-f334-4878-951e-ec4cd7f9dab7,-0.1628,spread_pct=0.0047;atr14_pct=0.1409;atr3_pct=0.1914;peak_to_baseline_ratio=2.2552;volume_spike_ratio=2.8712;days_since_earnings=34;financial_status=CC0/;split_ratio_proxy=1.7222;ask_gap_pct=0.0046,,2026-09-15T14:39:00Z-14:46:00Z,10:30
SION,1,7.2915,7.2915,7.66,6aa95a02-798a-4136-b67a-d8899d021aa3,6aa95a08-2512-47da-b7e8-4d6dffe8f72e,-0.1301,spread_pct=0.0070;atr14_pct=0.2342;atr3_pct=0.0865;peak_to_baseline_ratio=1.5613;volume_spike_ratio=1.5943;days_since_earnings=40;financial_status=CC0/;split_ratio_proxy=7.6614;ask_gap_pct=0.000,,2026-09-15T14:39:00Z-14:46:00Z,10:30
CNXU,1,4.47,4.47,4.7,6aa95a0e-76dd-4e6c-a139-ce32a868ee3b,6aa95a14-c77c-4be3-988f-bd301da80e70,-0.1148,spread_pct=0.0136;atr14_pct=0.1869;atr3_pct=0.1093;peak_to_baseline_ratio=1.1815;days_since_earnings=none;financial_status=CC0/;split_ratio_proxy=4.2455;ask_gap_pct=0.0076,,2026-09-15T14:39:00Z-14:46:00Z,10:30
ZSQR,2,2.4799,4.9598,2.61,6aa95a1b-f9e8-4f21-9503-15ee5d770e57,6aa95a20-520b-4c22-9e37-6ede9b9b00ac,-0.1143,spread_pct=0.0120;atr14_pct=0.1829;atr3_pct=0.1608;peak_to_baseline_ratio=1.2350;days_since_earnings=33;financial_status=CC0/;split_ratio_proxy=8.5686;ask_gap_pct=0.0060,,2026-09-15T14:39:00Z-14:46:00Z,10:30
RADX,2,1.8099,3.6198,1.91,6aa95a27-1d84-45fd-8f13-bc918a3e9639,6aa95a2d-a57c-48cb-b39a-edbf5df52fbf,-0.1125,spread_pct=0.0333;atr14_pct=0.1323;atr3_pct=0.0965;peak_to_baseline_ratio=1.1388;days_since_earnings=none;financial_status=CC0/;split_ratio_proxy=9.0278;ask_gap_pct=0.000,,2026-09-15T14:39:00Z-14:46:00Z,10:30
PRPL,1,2.86,2.86,3.01,6aa95a34-3f41-4ef7-99fc-3341ad32d866,6aa95a3a-d5e7-4a9c-acb3-14e6dbc1cc65,-0.1108,spread_pct=0.0249;atr14_pct=0.1468;atr3_pct=0.0723;peak_to_baseline_ratio=1.0722;days_since_earnings=36;financial_status=CC0/;split_ratio_proxy=10.231;ask_gap_pct=0.0178,,2026-09-15T14:39:00Z-14:46:00Z,10:30
