symbol,name,last_price,pct_change,market_cap,volume
MGRX,Mangoceuticals,0.2732,-0.5056992943730776,9.381996e+06,1.2399012621205e+07
CCB,Coastal Financial,40.75,-0.4232946504387206,1.077480773e+09,1.456974316953e+06
YYAI,AiRWA Inc.,0.1699,-0.4141379310344827,303952,3.0893758018924e+07
INO,Inovio,0.6595,-0.36586538461538465,8.4741434e+07,3.0929154386979e+07
GV,Visionary Holdings Inc.,0.1422,-0.3323943661971831,1.170814e+06,1.2540956096e+06
KWM,K Wave Media,0.0712,-0.3153846153846154,8.165509e+06,3.152026233541e+06
GBFH,GBank Financial Holdings,21.15,-0.2954696868754164,4.29480047e+08,490870.439307
TDOC,Teladoc Health,6.535,-0.2881263616557734,1.657110138e+09,2.2985267990159e+07
POM,PomDoctor,0.5,-0.28642785785642927,5.223895e+06,182839.094445
LVWR,LiveWire Group,1.8797,-0.27424710424710425,5.30333139e+08,4.909191133856e+06
SDST,Stardust Power Inc.,0.7247,-0.25442386831275715,1.0283494e+07,644257.808745
HCTI,Healthcare Triangle,1.169,-0.25064102564102564,3.143063e+06,400297.880996
LEXX,Lexaria Bioscience,0.3989,-0.24735849056603781,1.3137346e+07,641421.585131
RM,Regional Management,31.92,-0.2464589235127478,3.90057022e+08,204715.900633
AMIX,Autonomix Medical,3.48,-0.23851203501094098,2.467392e+06,1.202418214623e+06
MBRX,Moleculin Biotech,1.0389,-0.23610294117647068,9.573075e+06,1.359974945267e+06
LBGJ,Li Bang International Corporation Class A,0.0184,-0.23333333333333336,79257,9.7590213419424e+07
PHAT,Phathom Pharmaceuticals,8.93,-0.23281786941580762,9.28359292e+08,6.05834200579e+06
NCRA,Nocera,2.4,-0.23076923076923084,4.868217e+06,3.40548071284e+06
BIYA,Baiya International Group Inc Class A,4.51,-0.22641509433962267,2.4720463e+07,1.722668780944e+06
RDCM,Radcom,10.02,-0.2122641509433963,2.12912155e+08,974998.114672
WETO,Wetour Robotics,0.0299,-0.19407008086253372,3.045168e+06,1.5587535008368e+07
HODO,House of Doge,0.6632,-0.19308918359897792,6.238221e+07,336656.3557
INDP,Indaptus Therapeutics,1.47,-0.19230769230769235,2.42501029e+08,145262.324201
TREE,LendingTree,31.975,-0.18968575772934615,5.5072562e+08,1.127995643724e+06
SXTP,60 Degrees Pharmaceuticals,1.22,-0.18120805369127518,3.962339e+06,472954.0673
RTO,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),24.105,-0.18093781855249744,1.4820191734e+10,4.821520895162e+06
STFS,Star Fashion Culture Holdings,3.92,-0.17991631799163185,5.730124e+06,392916.661897
SONO,Sonos,14.43,-0.1763698630136986,2.087134315e+09,3.056142024496e+06
NIXX,"Nixxy, Inc",0.5362,-0.17494999230650873,1.8611702e+07,3.761539990082e+06
WAY,Waystar Holding Corp.,20.48,-0.16476345840130502,4.703252087e+09,4.519376473762e+06
GOSS,Gossamer Bio,0.1737,-0.15965166908563136,1.01044617e+08,2.6665316128126e+07
COUR,Coursera,5.195,-0.15938511326860832,1.769696345e+09,2.1078690880713e+07
MSS,Maison Solutions Inc.,1.385,-0.15548780487804872,1.427683e+06,992787.884659
VIVK,Vivakor,2.03,-0.15416666666666673,1.60128e+06,4.278724358115e+06
STAK,STAK Inc.,2.07,-0.14814814814814828,4.6661937e+07,1.5076851912695e+07
ESRT,Empire State Realty Trust,4.955,-0.14568965517241375,1.0000952e+09,5.470977987639e+06
LKQ,LKQ,22.63,-0.14247821144372874,6.723930135e+09,8.214707681049e+06
RITR,Reitar Logtech Holdings,0.0626,-0.1401098901098901,4.508438e+06,3.4402715362e+06
NNNN,Anbio Biotechnology Class A,9.98,-0.13891285591026742,5.07382272e+08,108398.369947
DFH,Dream Finders Homes,13.315,-0.13651102464332038,1.411476361e+09,484067.586612
FTRK,Fast Track Group,0.3705,-0.1349521363530236,9.342293e+06,142491.592169
LRN,Stride,84.54,-0.13478661344795811,4.155102116e+09,1.718463975278e+06
RYDE,Ryde Group Ltd.,0.5451,-0.13476190476190472,1.13542572e+08,83351.153618
PLAG,Planet Green Holdings,0.63,-0.13461538461538458,1.0361415e+07,184980
PFSI,PennyMac Financial Services,74.46,-0.13458856345885647,4.467616245e+09,1.831118961497e+06
AIXI,Xiao-I Corporation,1.03,-0.13445378151260498,1.095499e+06,699168.899219
GNPX,Genprex,6.19,-0.13061797752808985,3.643113e+06,37221.469051
ASTL,Algoma Steel Group,3.715,-0.12997658079625288,4.45980775e+08,1.462848402094e+06
CVLG,Covenant Logistics Group,36.15,-0.12891566265060245,1.044596043e+09,458501.701388
RSI,Rush Street Interactive,26.82,-0.12837179070523236,3.167881441e+09,4.63565438107e+06
VOC,VOC Energy Trust,2.895,-0.12801204819277104,5.644e+07,304426.335923
LSPD,Lightspeed Commerce,9.625,-0.125794732061762,1.438907876e+09,1.511663561945e+06
OMCL,Omnicell,36.42,-0.1202898550724637,1.883281621e+09,1.589192485023e+06
GSHD,Goosehead Insurance,62.32,-0.1187782805429864,2.511684801e+09,569507.735923
YQ,17 Education & Technology,1.8,-0.11764705882352941,1.9760004e+07,21486.000034
HGV,Hilton Grand Vacations,45.41,-0.11688059120964615,4.037264593e+09,1.974636240299e+06
ENLV,Enlivex Ltd.,1.9901,-0.11551111111111112,3.7872033e+07,272363.970813
CUPR,Cuprina Holdings (Cayman) Limited,2.84,-0.1152647975077882,8.58e+06,7557.23421
PACK,Ranpak,5.18,-0.11301369863013701,4.9958207e+08,1.164732441558e+06
MI,NFT Limited,7.51,-0.11229314420803795,1.954133e+06,12094.601322
TAOP,Taoping,0.6218,-0.11171428571428563,6.72224e+06,625495.078545
PHAR,Pharming Group,10.67,-0.1115736885928393,8.83346105e+08,47319.2046
