symbol,name,last_price,pct_change,market_cap,volume
HWO,Hotchkis & Wiley Funds Hotchkis & Wiley Opportunities Fund,27.16,-0.9969206483971623,,0
HXC,Mast HedgeIndex Strategic Commodities ETF,25.01,-0.9959556842607068,,5
BTAI,BioXcel Therapeutics,0.1826,-0.7459654980523094,2.2522741e+07,3.2931130572447e+07
VISN,Vistance Networks,6.435,-0.446689595872743,2.681032039e+09,5.003974040502e+06
BCAB,BioAtla,1.8808,-0.4010191082802548,5.231554e+06,570885.30827
KXIN,Kaixin,1.0499,-0.30006666666666665,2.480643e+06,4.567365417876e+06
AEHL,Antelope Enterprise,3.59,-0.29469548133595286,5.763396e+06,202377.377986
LGPS,LogProstyle,1.08,-0.28947368421052627,3.5888522e+07,1.200348440455e+06
LGCL,Lucas GC Limited,0.0383,-0.28142589118198874,2.212263e+06,2.73249392535132e+08
KTCC,Key Tronic,2.87,-0.2545454545454545,4.1808185e+07,102408.714581
SMJF,SMJ International Holdings,1.14,-0.2244897959183674,4.072635e+07,3.293876217531e+06
PPCB,Propanc Biopharma,1.7301,-0.22417040358744394,5.080767e+06,2.275618814207e+06
XAIR,Beyond Air,4.535,-0.2043859649122807,5.384706e+06,166542.827251
FBDT,First Breach Inc.,0.7811,-0.19474226804123707,4.4523953e+07,882881.87866
RPGL,Republic Power Group Limited,1.62,-0.19402985074626852,3.2295778e+07,212693.936787
YAAS,Youxin Technology,2.02,-0.192,3.9443738e+07,243933.909025
TAOP,Taoping,0.9097,-0.18776785714285726,1.0755584e+07,46177.998962
FGL,Founder Group Limited Class A,0.1449,-0.18595505617977523,210457,4.342985319369e+06
LPTH,LightPath,11.23,-0.1856417693981145,8.66179869e+08,3.791946941362e+06
TNMG,TNL Mediagene,0.42515,-0.1820892651019624,1.523667e+06,385361.696652
MIMI,Mint Incorporation,1.0598,-0.17844961240310073,1.727648e+07,1.206550586038e+06
PFSA,Profusa,3.5,-0.1745283018867925,2.553135e+06,185351.5356
YDES,YD Bio,3.2,-0.17312661498708007,2.74117309e+08,16096.190961
