"symbol","name","last_price","pct_change","market_cap","volume"
"HXC","Mast HedgeIndex Strategic Commodities ETF","25.01","-0.9958701350508772","","0"
"FCUV","Focus Universal","7.205","-0.5761764705882353","1.1946665e+07","271338.306237"
"BIAF","bioAffinity Technologies","9.17","-0.3994760969220694","9.173238e+06","516792.838854"
"LEXX","Lexaria Bioscience","9.925","-0.2985865724381625","2.3383129e+07","15335.573835"
"SNYR","Synergy CHC Corp.","0.075","-0.26829268292682923","1.527238e+06","2.9602910763e+06"
"LASE","Laser Photonics","1.0524","-0.24828571428571425","7.0248802e+07","1.584908230851e+06"
"DYN","Dyne Therapeutics","18.64","-0.23228995057660629","4.534203344e+09","2.008678599134e+06"
"RGTZ","Defiance Daily Target 2x Short RGTI ETF","2.77","-0.22625698324022347","","1.8575045677e+06"
"TRBG","TurboGen","5.69","-0.2247956403269754","1.55314738e+08","107165.985133"
"IONZ","Defiance Daily Target 2X Short IONQ ETF","2.14","-0.22463768115942018","","2.339901240635e+06"
"YI","111, Inc","2.69","-0.22366522366522365","3.0481479e+07","13148.752363"
"QBTZ","Defiance Daily Target 2x Short QBTS ETF","3.13","-0.22139303482587058","","278684.8298"
"CYCN","Cyclerion Therapeutics","3.35","-0.2117647058823529","1.9895741e+07","60763.0292"
"SGRX","Sangrix Inc.","1.6801","-0.19995238095238102","1.7476e+06","308404.0604"
"JAGX","Jaguar Health","0.4895","-0.1797922252010724","3.084441e+06","142093.164021"
"CMND","Clearmind Medicine","0.97","-0.16379310344827583","1.723239e+06","1.682641584639e+06"
"HCWB","HCW Biologics","2.475","-0.1581632653061224","5.398792e+06","2.29663302068e+06"
"ONCO","Onconetix, Inc","0.86","-0.15686274509803924","4.468132e+06","203711.510661"
"CINT","CI&T","3.0201","-0.1563966480446928","4.58199484e+08","232522.566165"
"AKAF","The Frontier Economic Fund","28","-0.15484455176577128","","0"
"BIDG","Leverage Shares 2X Long BIDU Daily ETF","6.815","-0.15263720687339913","","57714.429924"
"KBDU","KraneShares 2x Long BIDU Daily ETF","11.75","-0.15129977536530223","","3652.9266"
"BEZ","Tradr 2X Short BE Daily ETF","6.125","-0.15048543689320387","","895114.971995"
"LGHL","Lion Group Holding Ltd.","0.37","-0.15001148633126585","401728","520898.485147"
"POM","PomDoctor","0.706","-0.1493975903614458","6.187859e+06","7500.902428"
"BRZX","Corgi Brazil 2x Daily ETF","23.3349","-0.1443735951863246","","0"
"BEAM","Beam Therapeutics","25.4","-0.14362778152393801","3.063512143e+09","766836.239595"
"PATX","Tradr 2X Long PATH Daily ETF","11.61","-0.14254062038404725","","24621.704787"
"GIPR","Generation Income Properties","0.4622","-0.14248608534322826","1.637557e+06","450165.3945"
"ANPA","Rich Sparkle Holdings Limited","3.41","-0.14105793450881612","5.9953967e+07","85526.424876"
"NCT","Intercont (Cayman) Limited Class A","0.3444","-0.1390000000000001","3.857735e+06","623515.01348"
"PMAP","PGIM S&P 500 Max Buffer ETF - April","23.8","-0.13689936536718036","","0"
"OPTT","Ocean Power Technologies","0.1623","-0.1339381003201708","5.0624015e+07","3.643776221299e+06"
"BANL","CBL International","7.83","-0.13096559378468364","1.9023677e+07","19212.178892"
"TANH","Tantech Holdings","19.01","-0.13077274805669864","1.4601899e+07","4226.68548"
"SRPT","Sarepta Therapeutics","19.62","-0.12799999999999995","2.376607972e+09","538264.722784"
"BRIA","BrilliA","1.23","-0.12142857142857139","3.5e+07","3.2806"
"NWGL","CL Workshop Group Limited","1.12","-0.11811023622047237","2.1890427e+07","201344.187348"
"OFAL","OFA Group Class A","0.6882","-0.11769230769230768","2.0569e+06","615247.482721"
"FGL","Founder Group Limited Class A","8.21","-0.11720430107526879","106540","11799.3606"
"FBX","Corgi META 2x Daily ETF","26.7501","-0.11643231566534872","","0"
"SHPU","Direxion Daily SHOP Bull 2X ETF","14.65","-0.11480362537764352","","18021.0447"
"SGML","Sigma Lithium","10.98","-0.11380145278450364","1.395815964e+09","1.253260447954e+06"
"CORD","T-REX 2X Inverse CRWV Daily Target ETF","2.74","-0.11326860841423937","","1.0077870049e+06"
"SMX","SMX (Security Matters) PLC","17.3603","-0.1088141683778235","2.1206083e+07","9353.884322"
"BAOS","Baosheng Media Group","0.2907","-0.10855565777368902","500396","2.560043626379e+06"
"ORCZ","Tradr 2X Short ORCL Daily ETF","12.42","-0.10647482014388492","","54219.5699"
"NBIZ","Tradr 2X Short NBIS Daily ETF","5.42","-0.10413223140495867","","1.517898905622e+06"
"SKHN","Tradr 2X Short SK hynix Daily ETF","10.98","-0.10294117647058822","","36800.39172"
"SKDD","GraniteShares 2x Short SK Hynix Daily ETF","7.4496","-0.10245783132530126","","5.1992208404e+06"
"TV","Grupo Televisa","2.365","-0.10076045627376413","1.386164651e+09","212438.710403"
"NOWL","GraniteShares 2x Long NOW Daily ETF","7.235","-0.09788029925187024","","1.335544340287e+06"
"SMZ","Tradr 2X Short SMR Daily ETF","14.5","-0.09713574097135734","","30595.4657"
"GPRO","GoPro","1.535","-0.0970588235294118","3.50805818e+08","3.1400793117641e+07"
"YSXT","YSX Tech. Co","1.41","-0.09615384615384624","4.97367e+07","9189"
"GURE","Gulf Resources","3.31","-0.09562841530054647","6.637523e+06","684.0205"
"CRMG","Leverage Shares 2X Long CRM Daily ETF","9.24","-0.09322865554465155","","363081.31359"
"APLZ","Tradr 2X Short APLD Daily ETF","20.75","-0.09309440559440556","","3911.030986"
"IREZ","Tradr 2X Short IREN Daily ETF","7.88","-0.0921658986175115","","709737.704885"
"ZTG","Zenta Group Co Ltd Class A","0.6903","-0.09194948697711124","8.977079e+06","258392.030598"
"ANTA","Antalpha Platform Holding Company Class A","3.42","-0.09042553191489358","9.0293929e+07","1288.324351"
"VBIO","Valion Bio","2.52","-0.09025270758122744","2.458621e+06","22499.625223"
"AXTQ","Tradr 2X Short AXTI Daily ETF","44.915","-0.08968382650993117","","7854.9139"
"MSTX","Defiance Daily Target 2x Long MSTR ETF","15.285","-0.08963668850506248","","1.778844642942e+06"
"FIGG","Leverage Shares 2x Long FIG Daily ETF","19","-0.08960229995208438","","36196.708434"
"MSTU","T-Rex 2X Long MSTR Daily Target ETF","33.2","-0.08941305540318151","","1.142289339142e+06"
"OPENL","Opendoor Technologies Inc Series A Warrants exercise price of $13.00","0.1002","-0.08909090909090912","","29190.818086"
"OMH","Ohmyhome Limited Class A","2.61","-0.08741258741258742","4.829646e+06","28148.420376"
"USDE","StablecoinX Inc. Class A","7.2393","-0.08709962168978558","1.90552943e+08","633053.443702"
"MSTP","GraniteShares 2x Long MSTR Daily ETF","23.53","-0.08692277842452459","","12418.443682"
"SCNI","Scinai Immunotherapeutics Ltd. ADR","1.7","-0.08602150537634416","1.260299e+06","47629.2"
"NABL","N-able","3.72","-0.08374384236453189","7.66956427e+08","173564.779725"
"SKHQ","Leverage Shares 2X Short Sk Hynix Daily ETF","11.01","-0.08250000000000002","","2322"
"LHSW","Lianhe Sowell International Group","4.13","-0.08222222222222225","6.0721497e+07","158797.0382"
"AAOZ","Tradr 2X Short AAOI Daily ETF","12.51","-0.08217168011738818","","117898.365899"
"NCPL","Netcapital","0.53","-0.08209213716660893","4.531376e+06","501716.497291"
"KFFB","Kentucky First Federal Bancorp","5.61","-0.0818330605564648","4.9409828e+07","0"
"DAVA","Endava","2.81","-0.08169934640522876","1.61698713e+08","262325.882538"
"MST","Defiance Leveraged Long Income MSTR ETF","12.9394","-0.08158905237456447","","17789.036761"
"PPBT","Purple Biotech","1.61","-0.07999999999999995","1.0808275e+07","47811.419539"
"FTFT","Future FinTech Group Inc.","1.5","-0.07975460122699381","1.3166311e+07","37117.759975"
"BIDU","Baidu","91.55","-0.079621996581884","3.3191037403e+10","1.31992768123e+06"
"MGLD","The Marygold Companies","0.951","-0.07893462469733659","4.4477262e+07","107.911646"
"LRNX","Corgi LRN 2x Daily ETF","22.1","-0.0769359284938601","","0"
"PAMT","PAMT CORP","12.14","-0.0768060836501901","2.75390679e+08","2942.669431"
"MATH","Metalpha Technology","0.9008","-0.07572337369177096","4.5916559e+07","1880"
"ADBG","Leverage Shares 2X Long ADBE Daily ETF","4.335","-0.07569296375266533","","211367.523139"
"MENS","Jyong Biotech","2.21","-0.07531380753138081","1.77418464e+08","10036.6648"
"BUUU","BUUU Group Limited Class A","32.01","-0.07485549132947987","5.77647e+08","3995.978455"
"MIMI","Mint Incorporation","0.88","-0.07465825446897997","1.4067781e+07","414629.409667"
"JWEL","Jowell Global","2.11","-0.07456140350877191","5.417578e+06","31014.9696"
"GELS","Gelteq Limited","0.8329","-0.07455555555555561","9.639953e+06","115759.446029"
"IONS","Ionis Pharmaceuticals","53.78","-0.0741952143226029","9.653647264e+09","1.600623155836e+06"
"BLCK","Corgi Crypto Infrastructure ETF","23.26","-0.07387130553885479","","0"
"UFG","Uni-Fuels Holdings","0.5589","-0.07359522625559423","1.9586134e+07","35438.989574"
"GALT","Galectin Therapeutics","4.273","-0.0731019522776574","4.64916858e+08","16550.576004"
"RPRX","Royalty Pharma","59.29","-0.07301438398999377","2.8479938922e+10","476288.000144"
"GRI","GRI Bio, Inc","2.67","-0.07291666666666666","6.296011e+06","130821.924974"
"DAMD","Defiance Daily Target 2X Short AMD ETF","1.465","-0.07278481012658226","","2.1495338611e+06"
"LENZ","LENZ Therapeutics, Inc.","5.53","-0.07214765100671136","1.87265244e+08","60644.341438"
"ALA","Corgi ALAB 2x Daily ETF","10.84","-0.07191780821917808","","927.80851"
"ADBU","Direxion Daily ADBE Bull 2X ETF","24.64","-0.07114907604966939","","4568.907877"
"AIBZ","Bitzero Holdings Inc.","4.6","-0.07070707070707082","2.87173045e+08","21954.213403"
"SLBT","SL Science Holding","2.68","-0.06944444444444435","1.6149881e+09","30620.940846"
"WHLR","Wheeler Real Estate Investment Trust","0.3895","-0.0690726577437858","254690","479392.642488"
"DVSP","WEBs SPY Defined Volatility ETF","27.96","-0.06898997399431936","","0"
"DRCT","Direct Digital Holdings","1.825","-0.06887755102040817","1.490711e+06","0"
"RYDE","Ryde Group Ltd.","0.67","-0.06866833472338059","1.29654803e+08","1305.958904"
"MSTW","Roundhill MSTR WeeklyPay ETF","4.52","-0.06804123711340208","","239528.310411"
"BCRX","BioCryst","9.285","-0.06777108433734946","2.545129645e+09","778124.499532"
"QCMD","Direxion Daily QCOM Bear 1X ETF","16.44","-0.06772596587332633","","64697.8139"
"YMT","Yimutian","1.98","-0.06603773584905666","1.01033e+06","21603.205667"
"CHNL","Chainlink ETF","25.431","-0.06591247176360394","","0"
"IMMX","Immix Biopharma","12.995","-0.06578001437814529","9.90252218e+08","144535.399365"
"PATH","UiPath","14.205","-0.064845292955892","7.87024684e+09","3.343770702022e+06"
"FAMI","Farmmi","0.1013","-0.06463527239150502","4.054529e+06","1.821616410162e+06"
"CRCA","ProShares Ultra CRCL","26.8","-0.06457242582897026","","148790.256976"
"TNON","Tenon Medical","3.48","-0.06451612903225812","2.481414e+06","18571.853179"
"TWAV","TaoWeave","1.31","-0.06421887277662681","5.427718e+06","5100.7413"
"CXM","Sprinklr","5.535","-0.06345177664974619","1.372132619e+09","189409.64854"
"CRCG","Leverage Shares 2X Long CRCL Daily ETF","18.16","-0.06343476018566273","","437162.394455"
"NAMS","NewAmsterdam Pharma","23.79","-0.06338582677165353","3.036244092e+09","354707.416267"
"DEFT","Defi Technologies","0.64","-0.06295754026354325","2.57925136e+08","285995.225929"
"RWEM","Rayliant NxtGen Multifactor Emerging Markets Equity ETF","35.05","-0.06283422459893052","","756.5177"
"PLU","Defiance Daily Target 2x Long PL ETF","5.45","-0.06276870163370596","","78322.0656"
"CONL","GraniteShares 2x Long COIN Daily ETF","5.56","-0.06239460370994943","","3.089150383856e+06"
"NRGD","MicroSectors U.S. Big Oil -3x Inverse Leveraged ETNs due February 17, 2045","13.19","-0.06225783288425035","","4063.2245"
"BBBYW","Neighborhood Intelligence, Inc. Warrants","0.83","-0.06214689265536728","","13105.273624"
"ADCT","ADC Therapeutics","1.276","-0.06176470588235299","1.73628065e+08","54457.617445"
"CRBP","Corbus Pharmaceuticals","10.4","-0.061371841155234634","2.14301526e+08","78784.139245"
"MTEX","Mannatech","8.45","-0.06111111111111119","1.736703e+07","2748.3539"
"PLAG","Planet Green Holdings","0.6591","-0.061111111111111026","9.991365e+06","774746.050355"
"KC","Kingsoft Cloud","10.274","-0.06087751371115177","3.267595828e+09","109921.844308"
"CONX","Direxion Daily COIN Bull 2X ETF","6.77","-0.06080490545621031","","31253.9353"
"BLSG","Leverage Shares 2X Long BLSH Daily ETF","3.3","-0.06060519798457124","","19647.663978"
"VANI","Vivani Medical, Inc. Common Stock","1.4","-0.06040268456375844","1.34403e+08","19642.906752"
"IFED","ETRACS IFED Invest with the Fed TR Index ETN","47.09","-0.05983588555912711","","400"
"AMBR","Amber International","0.8555","-0.059476693051890864","8.5752768e+07","94414.500818"
"PAVM","PAVmed","4.9671","-0.059261363636363626","4.2218447e+07","577.092126"
"SONO","Sonos","14.45","-0.05924479166666668","1.816995517e+09","130354.664383"
"BMEA","Biomea Fusion","1.91","-0.059113300492610786","1.47142219e+08","419280.94608"
"SLN","Silence Therapeutics","13.73","-0.05894448252227549","1.025542419e+09","181429.693395"
"ACLZ","Corgi ACLS 2x Daily ETF","8.75","-0.058876675199518114","","0"
"PASW","Ping An Biomedical Co., Ltd.","0.1154","-0.05872756933115822","1.526983e+07","134623.9338"
"CCUP","T-REX 2X Long CRCL Daily Target ETF","32.1","-0.05865102639296187","","17897.841708"
"LABX","Tradr 2X Long ALAB Daily ETF","11.45","-0.05838815789473691","","318160.596881"
"CNXU","Conexeu Sciences","4.6805","-0.05824949698189123","1.329889e+08","39082.264346"
"INFY","Infosys","11.02","-0.0581196581196581","4.8434509728e+10","1.420648876341e+06"
"AXG","Solowin Holdings","2.11","-0.05803571428571443","4.32552571e+08","25581.330141"
"MSTC","Corgi MSTR 2x Daily ETF","56.13","-0.05797332518801088","","0"
"APPN","Appian","36.15","-0.05785770132916338","2.748350896e+09","79210.684663"
"EFOR","Everforth","30.67","-0.05775729646697375","1.33455e+09","23376.911413"
"XNCR","Xencor","25.083","-0.05738444193912067","1.978543894e+09","43685.149223"
"GTM","ZoomInfo Technologies","3.895","-0.056900726392251785","1.202284489e+09","284227.244677"
"CUVL","Clinuvel Pharmaceuticals","6.15","-0.05674846625766859","2.95947957e+08","16896.057255"
"PHR","Phreesia","10.32","-0.05667276051188293","6.79056127e+08","77236.623274"
"HAFN","Hafnia LTD","8.7","-0.05639913232104136","4.562278962e+09","234339.239095"
"IMCC","IM Cannabis","1.8684","-0.056363636363636324","1.195763e+06","13827.924008"
"PETZ","TDH Holdings","1.34","-0.05633802816901398","1.465904e+07","30484.6028"
"CIR","Corgi CRCL 2x Daily ETF","44.8","-0.05623014502035011","","0"
"SMCZ","Defiance Daily Target 2X Short SMCI ETF","2.605","-0.056159420289855","","255741.00274"
"MCRB","Seres Therapeutics","5.4","-0.05594405594405584","5.7456147e+07","2560.89481"
"OLB","The OLB Group","0.2466","-0.05589586523736591","6.274105e+06","1.04091450562e+07"
"VALU","Value Line","36.46","-0.05568505568505565","3.6224956e+08","0"
"DPRO","Draganfly","5.78","-0.05555555555555553","2.22234454e+08","191715.962476"
"AGEN","Agenus","7.786","-0.05509708737864085","3.7087968e+08","103834.935588"
"XXI","Twenty One Capital","5.765","-0.05491803278688524","3.430470554e+09","128676.721763"
"SGLD","Scorpio Gold","5.151","-0.054862385321100986","9.5385339e+07","116400.875274"
"GENB","Generate Biomedicines","15.5","-0.054301403294691915","2.103696426e+09","108896.196183"
"ACTU","Actuate Therapeutics","1.4","-0.054054054054054106","3.5541018e+07","16440.278218"
"BMNU","T-REX 2X Long BMNR Daily Target ETF","18.44","-0.05387378142637236","","500013.263302"
"CLGN","CollPlant Biotechnologies","3.36","-0.053521126760563364","6.712414e+06","41021.033427"
"ELF","e.l.f. Beauty","103.82","-0.05334184371295713","6.471406921e+09","105756.439112"
"RAMZ","T-REX 2X Inverse DRAM Daily Target ETF","14.03","-0.05330634278002705","","260225.1427"
"COIA","ProShares Ultra COIN","8.53","-0.05327413984461714","","10497.5265"
"KPDD","KraneShares Trust KraneShares 2x Long PDD Daily ETF","4.84","-0.053208137715180015","","44453.9047"
"GCL","GCL Global Holdings","0.5114","-0.05296296296296309","6.9124699e+07","21330.694141"
"PDDL","GraniteShares 2x Long PDD Daily ETF","11.52","-0.05279515873081137","","11724.3288"
"ALGS","Aligos Therapeutics","5.885","-0.0523349436392915","3.8778705e+07","40491.085826"
"NVOX","Defiance Daily Target 2x Long NVO ETF","13.81","-0.05216197666437884","","41303.76232"
"AMCX","AMC Global Media Inc. Class A","11.83","-0.05208333333333336","5.14799637e+08","28128.128075"
"SHEN","Shenandoah Telecommunications","11.935","-0.052025416997617105","6.97041321e+08","101343.51104"
"ORCS","Direxion Daily ORCL Bear 1X ETF","25.51","-0.05202526941657371","","25308.9487"
"DOCS","Doximity","24.98","-0.05199240986717271","4.696781572e+09","139737.182581"
"ARCT","Arcturus Therapeutics Holdings","15","-0.051833122629582826","4.49652951e+08","52305.807674"
"ASTN","Defiance Daily Target 2X Short ASTS ETF","4.3237","-0.05182017543859649","","63191.8919"
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X ETF","19.91","-0.051453072891853184","","17478.887036"
"PUL","GraniteShares 2x Long P Daily ETF","34.92","-0.05135505183317757","","0"
"COIG","Themes ETF Trust Leverage Shares 2X Long COIN Daily ETF","5.5","-0.051249762812440765","","12684.1815"
"TLSI","TriSalus Life Sciences","4.745","-0.050999999999999976","3.07873e+08","3282.874346"
"WXM","WF International Limited","4.28","-0.05099778270509968","1.3648405e+07","804.868"
"JG","Aurora Mobile","6.15","-0.05092592592592594","3.8621496e+07","994.780368"
"SNDQ","Tradr 2X Short SNDK Daily ETF","11.1802","-0.05091680814940579","","1.0952369325035e+07"
"PMOC","PGIM S&P 500 Max Buffer ETF - October","25.09","-0.05087951579345561","","0"
"SLDB","Solid Biosciences","9.73","-0.05073170731707313","1.099058689e+09","33129.48386"
"XRTX","XORTX Therapeutics","2.1937","-0.05034632034632028","4.196265e+06","1886"
"NFXL","Direxion Daily NFLX Bull 2X ETF","17.01","-0.050251256281406954","","200723.874417"
"MAYU","AllianzIM U.S. Equity Buffer15 Uncapped May ETF","33.02","-0.0500739342819167","","392"
"BIB","ProShares Ultra NASDAQ Biotech","113.995","-0.0500361252107304","","2308.647189"
"CBRZ","Tradr 2X Short CBRS Daily ETF","7.6","-0.050000000000000044","","201217.3029"
